Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
Intro Logo Eco,Film & Animation,1,Content,,"August 21, 2022 7:47 PM (GMT+1)",ferdikesh_studio,"August 24, 2022",23,27340,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,12361172,https://play.joystream.org/video/27340,"August 21, 2022 7:47 PM (GMT+1)"
Let's dance together in WEB3,Gaming,7,PEACE AND LOVE,,"August 19, 2022 9:04 AM (GMT+1)",skipper,"August 20, 2022",78,27331,,zh,CC0,1002,,27331,original content,-,chenbin01,9728473,https://play.joystream.org/video/27331,"August 19, 2022 9:04 AM (GMT+1)"
about SubQuery Network,Education,13,Content,,"August 21, 2022 8:14 PM (GMT+1)",ferdikesh_studio,"August 24, 2022",93,27343,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,50853895,https://play.joystream.org/video/27343,"August 21, 2022 8:14 PM (GMT+1)"
Future Sound Of London's Iteration w/ Terence McKenna,Entertainment,10,SatoriD,,"August 22, 2022 12:27 AM (GMT+1)",skipper,"August 24, 2022",599,27344,,en,,1002,,0,Original video,-,infinteimaginarium,400376424,https://play.joystream.org/video/27344,"August 22, 2022 12:27 AM (GMT+1)"
V0200fg10000cbuedkbc77uc2s2ihp50,Music,3,Chenbin,,"August 23, 2022 9:30 AM (GMT+1)",skipper,"August 24, 2022",78,27346,,zh,1,1002,,27346,Original video,-,chnebin,37930470,https://play.joystream.org/video/27346,"August 23, 2022 9:30 AM (GMT+1)"
How to Bid to an NFT Sale (Open Type),Howto & Style,12,Joystream Tutorials by Songoku,,"August 20, 2022 6:55 AM (GMT+1)",Songoku,"August 20, 2022",85,27333,,en,CC0,1002,,0,Original video,Original video for Joystream,songoku,36018750,https://play.joystream.org/video/27333,"August 20, 2022 6:55 AM (GMT+1)"
How to Buy an NFT (Fixed Price),Howto & Style,12,Joystream Tutorials by Songoku,,"August 8, 2022 3:52 AM (GMT+1)",ferdikesh_studio,"August 24, 2022",100,27285,,en,CC0,1002,,0,Original video,Original video for Joystream,songoku,30644030,https://play.joystream.org/video/27285,"August 8, 2022 3:52 AM (GMT+1)"
Flux Logo Intro,Film & Animation,1,Content,,"August 21, 2022 7:57 PM (GMT+1)",ferdikesh_studio,"August 24, 2022",7,27341,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,4459915,https://play.joystream.org/video/27341,"August 21, 2022 7:57 PM (GMT+1)"
How to Create a Proposal in Joystream Pioneer,Howto & Style,12,Joystream Tutorials by Songoku,,"August 17, 2022 3:17 AM (GMT+1)",prontera,"August 19, 2022",103,27324,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,songoku,15106535,https://play.joystream.org/video/27324,"August 17, 2022 3:17 AM (GMT+1)"
what is ALEO,Education,13,Content,,"August 21, 2022 7:28 PM (GMT+1)",ferdikesh_studio,"August 24, 2022",30,27339,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,13555848,https://play.joystream.org/video/27339,"August 21, 2022 7:28 PM (GMT+1)"
