Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Meeting score,"Forum Post, Master Score",,,MEETING_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,Not Completed,,,Network Performance Score (Council%2018/Council%20Period%2017/Network%20Performance%20Score%201d66bd415c70454692124761fee46347.md),,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,Content Score (Council%2018/Council%20Period%2017/Content%20Score%20845967896c6c4c588b7f6715c3503e2b.md),,,,No,,"WG Opportunities (Council%2018/Council%20Period%2017/WG%20Opportunities%20db23ed9e48544622b22cc33d6fccfb61.md), WG Summary (Council%2018/Council%20Period%2017/WG%20Summary%209a7e1d5c88e7478494e495b14406dbb7.md), WG Period Plan (Council%2018/Council%20Period%2017/WG%20Period%20Plan%2037c8c83289cc494aa1831ce044ff01ce.md), Opening Score (Council%2018/Council%20Period%2017/Opening%20Score%2079613fcae8f4415984971834859f8852.md), Bounty Score (Council%2018/Council%20Period%2017/Bounty%20Score%20ecd7f8789dc04d34ac2a0ceeb092caec.md)"
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal",,,PLAN_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20b6447170e888446c861b307ad89fa1c5.md),,,,No,,
Report Score,Group Specific Scores,,,REPORT_SCORE,Marketing,,Not Completed,,,,,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20a2440aecb3aa4a5a8d10e20f0b5479e5.md),,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%207d1eca46d57c4e9b86b649ed8b72dd52.md),,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,,PLAN_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%206557ed3e2d764877b3d9223e161ed0ba.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,SUMMARY_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,"General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%20d5b39d06f8a141c5b0c9a76d50372425.md), General WG Score (Council%2018/Council%20Period%2017/General%20WG%20Score%206557ed3e2d764877b3d9223e161ed0ba.md)",,,,No,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Not Completed,,,Distributor Score (Council%2018/Council%20Period%2017/Distributor%20Score%20d02db64e54e74be4b7666e61f57ecd03.md),,,,No,,
