Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
HR Score,"Composite Grade, Master Score",,,HR_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,Not Completed,,,Network Performance Score (Council%2026/Council%20Period%2017/Network%20Performance%20Score%20d83c1d7d8d394599b5996f7a7486210e.md),,,,No,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2031d5220e461a44bc8c5165c909cfbfac.md), HR Report (Council%2026/Council%20Period%2017/HR%20Report%20670ab8f74211444cba22500747850adf.md), Response Time (Council%2026/Council%20Period%2017/Response%20Time%2036c6bbd3be554147b31f7381088fdfe9.md), Person Logging Score (Council%2026/Council%20Period%2017/Person%20Logging%20Score%204b178de3aba5453c8337869c3355651e.md), Interaction Logging Score (Council%2026/Council%20Period%2017/Interaction%20Logging%20Score%200aff407fd7014fd88fc65a69554a2fff.md), Bounty Management Score (Council%2026/Council%20Period%2017/Bounty%20Management%20Score%20c116d2a39cbc4be581efd7318594a1d5.md)"
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20c8d69a68d34e44b6bc9250c26ec8a33f.md),,,,No,,
Bounty Management Score,"Group Specific Scores, Subscore",,,BOUNTY_MANAGEMENT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,Not Completed,,,HR Score (Council%2026/Council%20Period%2017/HR%20Score%2043a6102bf7c041ae9d7374c5fc3c1b07.md),,,,No,,
Research Score,"Group Specific Scores, Subscore",,,RESEARCH_SCORE,Distributors,,Not Completed,,,,,,,No,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,Storage,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,Not Completed,,,,,,,No,,
Workflow Violation,Catastrophic Errors,,,,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report-1,Not Completed,,,,,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2058842ed006ab445db7177c3ebcc1761b.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%202f76f42235734fefa311bd3b53b84484.md)",,,,No,,
Marketing Score,Master Score,,,MARKETER_SCORE,Marketing,,Not Completed,,,,,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20104a249fb6d140c299d5444ae7935520.md),,,,No,,
HR Report,"Group Specific Scores, Subscore",,,REPORT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,Not Completed,,,HR Score (Council%2026/Council%20Period%2017/HR%20Score%2043a6102bf7c041ae9d7374c5fc3c1b07.md),,,,No,,
General WG Score,"Composite Grade, General WG Score, Subscore",,,GENERAL_WG_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#general_wg_score,Not Completed,,,Builder Score (Council%2026/Council%20Period%2017/Builder%20Score%20383a9dfb259e4b90bb7d1d1682c1d935.md),,,,No,,"WG Period Plan (Council%2026/Council%20Period%2017/WG%20Period%20Plan%20173803fb49e54f4fa4d5341bfa7f3ee9.md), WG Summary (Council%2026/Council%20Period%2017/WG%20Summary%205ebb51cdd1a24644b93c157eaf94a7d8.md), WG Opportunities (Council%2026/Council%20Period%2017/WG%20Opportunities%209d5356c922644463acb9e790408dd723.md), Opening Score (Council%2026/Council%20Period%2017/Opening%20Score%20ad3e7be92ae34a0889c544eaf763eb84.md), Bounty Score (Council%2026/Council%20Period%2017/Bounty%20Score%20b4d5382e0f234c89a79b449cc1f8aa52.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,SUMMARY_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%203610a8862bb44ad397ae6a7536700653.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2073300c8c81af4c81ada3b41061262a9e.md)",,,,No,,
Builders Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,REPORT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Not Completed,,,Builder Score (Council%2026/Council%20Period%2017/Builder%20Score%20383a9dfb259e4b90bb7d1d1682c1d935.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20c8d69a68d34e44b6bc9250c26ec8a33f.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2031d5220e461a44bc8c5165c909cfbfac.md),,,,No,,
Unwarranted deletion,Catastrophic Errors,,,,Forum,,Not Completed,,,,,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Marketing,,Not Completed,,,Forum Score (Council%2026/Council%20Period%2017/Forum%20Score%20807abc95ae224068b655d91fd11e855d.md),,,,No,,"WG Summary (Council%2026/Council%20Period%2017/WG%20Summary%208298bdcb51a443a189a581da4c993e38.md), WG Opportunities (Council%2026/Council%20Period%2017/WG%20Opportunities%20ead1764e3bd843d9b4b96c69c49d18b5.md), Opening Score (Council%2026/Council%20Period%2017/Opening%20Score%2020f08106f12c46e583dc11c77ebbfcc2.md), Bounty Score (Council%2026/Council%20Period%2017/Bounty%20Score%203f7dca9a9c6a41e39a996c6de63de8f7.md), WG Period Plan (Council%2026/Council%20Period%2017/WG%20Period%20Plan%20fae8dfb278b342bba80389e80b61077d.md), WG Summary (Council%2026/Council%20Period%2017/WG%20Summary%20e77b5b9defc44271a5aa3144e1aa44b5.md), WG Opportunities (Council%2026/Council%20Period%2017/WG%20Opportunities%20855ec9de114c477d8cb2bc021e9bb8ed.md), Bounty Score (Council%2026/Council%20Period%2017/Bounty%20Score%20d067aa4332934360a809920d3cd9382c.md), Opening Score (Council%2026/Council%20Period%2017/Opening%20Score%20382d6856b7bc44f6bb262965beafc986.md)"
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,TOTAL_BREACHES_OF_POLICY,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,Not Completed,,,"Moderation Score (Council%2026/Council%20Period%2017/Moderation%20Score%20967a770f6ef347c9818771e0639c4c93.md), Curation Testing Score (Council%2026/Council%20Period%2017/Curation%20Testing%20Score%206d25fdbfb84e4cbbaa5f4029a913bd42.md)",,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Forum,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%203610a8862bb44ad397ae6a7536700653.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2073300c8c81af4c81ada3b41061262a9e.md)",,,,No,,
Violation of Content Policy,Catastrophic Errors,,,,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
Storage Score,"Composite Grade, Master Score",,,STORAGE_SCORE,Storage,,Not Completed,,,Network Performance Score (Council%2026/Council%20Period%2017/Network%20Performance%20Score%20d83c1d7d8d394599b5996f7a7486210e.md),,,,No,,"Uploads (Council%2026/Council%20Period%2017/Uploads%20b25d5b8792054aec816d4044197780c8.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2058842ed006ab445db7177c3ebcc1761b.md), System (Council%2026/Council%20Period%2017/System%20bdafa64f963048f69dc75ead49273c42.md), Storage Report (Council%2026/Council%20Period%2017/Storage%20Report%2005132afcb6ff4dbd8b506c04018ad998.md), Logging (Council%2026/Council%20Period%2017/Logging%207ee3f869c592473f83b6388d4e73e071.md)"
Moderation Score,"Group Specific Scores, Subscore",,,MODERATION_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Not Completed,,,Content Score (Council%2026/Council%20Period%2017/Content%20Score%20dbe6a1d1551148aa910d67608ad7fd06.md),,,,No,,Total Breaches of Policy (Council%2026/Council%20Period%2017/Total%20Breaches%20of%20Policy%2006b255e7c109424d823afd8a6dbb1feb.md)
Storage Report,"Document, Forum Post, Grade, Group Specific Scores, Proposal, Report",,https://dao.joystream.org/#/forum/category/13,REPORT_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,Not Completed,,,Storage Score (Council%2026/Council%20Period%2017/Storage%20Score%20772cb324b9bd4649bd0a5289d6924a5c.md),,,,No,,
Person Logging Score,"Group Specific Scores, Subscore",,,PERSON_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,Not Completed,,,HR Score (Council%2026/Council%20Period%2017/HR%20Score%2043a6102bf7c041ae9d7374c5fc3c1b07.md),,,,No,,
System,"Grade, Group Specific Scores, Subscore",,,SYSTEM_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Not Completed,,,Storage Score (Council%2026/Council%20Period%2017/Storage%20Score%20772cb324b9bd4649bd0a5289d6924a5c.md),,,,No,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
Forum Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,REPORT_SCORE,Forum,,Not Completed,,,Forum Score (Council%2026/Council%20Period%2017/Forum%20Score%20807abc95ae224068b655d91fd11e855d.md),,,,No,,
Lead Opportunities,"Grade, Master Score",,,LEAD_OPPORTUNITIES_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,Not Completed,,,Network Performance Score (Council%2026/Council%20Period%2017/Network%20Performance%20Score%20d83c1d7d8d394599b5996f7a7486210e.md),,,,No,,
Content Report,"Forum Post, Group Specific Scores",,,REPORT_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,Not Completed,,,Content Score (Council%2026/Council%20Period%2017/Content%20Score%20dbe6a1d1551148aa910d67608ad7fd06.md),,,,No,,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,Not Completed,,,,,,,No,,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,Not Completed,,,Content Score (Council%2026/Council%20Period%2017/Content%20Score%20dbe6a1d1551148aa910d67608ad7fd06.md),,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/47?post=640,https://dao.joystream.org/#/forum/thread/47,PLAN_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%202f76f42235734fefa311bd3b53b84484.md),,,,No,,
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,Not Completed,,,,,,,No,,
Research Score,"Group Specific Scores, Subscore",,,RESEARCH_SCORE,Storage,,Not Completed,,,,,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,,,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%203610a8862bb44ad397ae6a7536700653.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2073300c8c81af4c81ada3b41061262a9e.md)",,,,No,,
Upgrading non-Jsgenesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,Not Completed,,,,,,,No,,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check",,,,Distributors,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,Not Completed,,,,,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%202f76f42235734fefa311bd3b53b84484.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,https://dao.joystream.org/#/forum/category/11,SUMMARY_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,"CWG summary (https://www.notion.so/CWG-summary-2a1c521512fe4f6cb2680a4f5e1bfe64?pvs=21) ",,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20104a249fb6d140c299d5444ae7935520.md),,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2031d5220e461a44bc8c5165c909cfbfac.md),,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Storage,,Not Completed,,,Storage Score (Council%2026/Council%20Period%2017/Storage%20Score%20772cb324b9bd4649bd0a5289d6924a5c.md),,,,No,,"WG Summary (Council%2026/Council%20Period%2017/WG%20Summary%205d0ade963b0343168cf17ed690b87c3c.md), WG Period Plan (Council%2026/Council%20Period%2017/WG%20Period%20Plan%203b9f567f223a42d094fdfa424d5c50bc.md), WG Opportunities (Council%2026/Council%20Period%2017/WG%20Opportunities%209d5356c922644463acb9e790408dd723.md), Opening Score (Council%2026/Council%20Period%2017/Opening%20Score%205edd1abc746d4e7d8a6c93a445097c64.md), Bounty Score (Council%2026/Council%20Period%2017/Bounty%20Score%200e3ef83d1efb4fbe9bc5b5fed642455e.md)"
General Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,GENERAL_DEVELOPMENT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,Not Completed,,,Builder Score (Council%2026/Council%20Period%2017/Builder%20Score%20383a9dfb259e4b90bb7d1d1682c1d935.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,SUMMARY_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2073300c8c81af4c81ada3b41061262a9e.md),,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20104a249fb6d140c299d5444ae7935520.md),,,,No,,
Builder Score,"Composite Grade, Master Score",,,BUILDER_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,Not Completed,,,Network Performance Score (Council%2026/Council%20Period%2017/Network%20Performance%20Score%20d83c1d7d8d394599b5996f7a7486210e.md),,,,No,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%202f76f42235734fefa311bd3b53b84484.md), Builders Report (Council%2026/Council%20Period%2017/Builders%20Report%202d68196b31e84b54b2d35b3b3a234934.md), Testing (Council%2026/Council%20Period%2017/Testing%200c2f0f151eb544ba8998188b6eae7f6e.md), Pioneer Development (Council%2026/Council%20Period%2017/Pioneer%20Development%202104ee95dbb247d7ab49691422f2dbf7.md), General Development (Council%2026/Council%20Period%2017/General%20Development%20d90d30f7b7a44fc7a06826646a8c953c.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,,SUMMARY_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%20c8d69a68d34e44b6bc9250c26ec8a33f.md),,,,No,,
Logging,"Grade, Group Specific Scores, Subscore",,,LOGGING_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Not Completed,,,Storage Score (Council%2026/Council%20Period%2017/Storage%20Score%20772cb324b9bd4649bd0a5289d6924a5c.md),,,,No,,
Interaction Logging Score,"Group Specific Scores, Subscore",,,INTERACTION_LOGGING_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,Not Completed,,,HR Score (Council%2026/Council%20Period%2017/HR%20Score%2043a6102bf7c041ae9d7374c5fc3c1b07.md),,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2058842ed006ab445db7177c3ebcc1761b.md),,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Forum,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%203610a8862bb44ad397ae6a7536700653.md), General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2073300c8c81af4c81ada3b41061262a9e.md)",,,,No,,
Documentation Score,"Grade, Subscore",,,DOCUMENTATION_SCORE,Marketing,,Not Completed,,,,,,,No,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Not Completed,,,HR Score (Council%2026/Council%20Period%2017/HR%20Score%2043a6102bf7c041ae9d7374c5fc3c1b07.md),,,,No,,"WG Period Plan (Council%2026/Council%20Period%2017/WG%20Period%20Plan%20aaf456778b4c47febc355af238441e09.md), WG Summary (Council%2026/Council%20Period%2017/WG%20Summary%20d51d39b2d5954caeabd057fc6dfa839a.md), WG Opportunities (Council%2026/Council%20Period%2017/WG%20Opportunities%20903016abdf3d4daeb3ceb8625f80f783.md), Opening Score (Council%2026/Council%20Period%2017/Opening%20Score%20619b087ac8cb4858a68cd9bfef66c34b.md), Bounty Score (Council%2026/Council%20Period%2017/Bounty%20Score%20318038ed8b18427cb1ebcdad289031a3.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",,,SUMMARY_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2026/Council%20Period%2017/General%20WG%20Score%2031d5220e461a44bc8c5165c909cfbfac.md),,,,No,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,Not Completed,,,,,,,No,,
Response Time,"Group Specific Scores, Subscore",,,RESPONSE_TIME_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,Not Completed,,,HR Score (Council%2026/Council%20Period%2017/HR%20Score%2043a6102bf7c041ae9d7374c5fc3c1b07.md),,,,No,,
Featuring Score,"Group Specific Scores, Subscore",,,FEATURING_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,Not Completed,,,Content Score (Council%2026/Council%20Period%2017/Content%20Score%20dbe6a1d1551148aa910d67608ad7fd06.md),,,,No,,
