Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Subscores
Report Score,Group Specific Scores,,,REPORT_SCORE,Marketing,,Not Completed,,,,,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20013008c6907b4c58b3b9535d85c996e2.md),,,,No,,
Builders Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",,,REPORT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Not Completed,,,Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",,,SUMMARY_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20013008c6907b4c58b3b9535d85c996e2.md),,,,No,,
Logging does not occur,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,Not Completed,,,Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md),,,,No,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore",,,SUMMARY_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Not Completed,,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%208a927a87b3f849028adecd73009fa7f9.md),,,,No,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Forum,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md)",,,,No,,
Network Performance Score,"Composite Grade, Master Score, Overall Grade",,,NETWORK_PERFORMANCE_SCORE,Network,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#overview,Not Completed,,,,,,,No,,"Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md), Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md), Distributor Score (Council%2021/Council%20Period%2017/Distributor%20Score%20440ac3bc6398466a8e120330b8b7a922.md), Storage Score (Council%2021/Council%20Period%2017/Storage%20Score%20bd78402a34fc4e3aa16f90c56db64574.md), HR Score (Council%2021/Council%20Period%2017/HR%20Score%207bb079bec3cf4e4ca334f51a99cf9951.md), Council Period Summary (Council%2021/Council%20Period%2017/Council%20Period%20Summary%2006adfbd5c034452ca2562cde5b0aa3c6.md), Council Period Plan (Council%2021/Council%20Period%2017/Council%20Period%20Plan%20d29de5f933ce4f0d946215938cce5a8c.md), Lead Opportunities (Council%2021/Council%20Period%2017/Lead%20Opportunities%2086810f86843d4a72a7aef080f4912f68.md), Meeting score (Council%2021/Council%20Period%2017/Meeting%20score%2009c2b893cf024b63b4c803be829d1a80.md)"
Documentation Score,"Grade, Subscore",,,DOCUMENTATION_SCORE,Marketing,,Not Completed,,,,,,,No,,
Recruiting Score,Group Specific Scores,,,RECRUITING_SCORE,Marketing,,Not Completed,,,,,,,No,,
Curation Testing Score,"Group Specific Scores, Subscore",,,CURATION_TESTING_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Not Completed,,,Content Score (Council%2021/Council%20Period%2017/Content%20Score%207803dc73d4f74f2d8110548f8bd91c86.md),,,,No,,Total Breaches of Policy (Council%2021/Council%20Period%2017/Total%20Breaches%20of%20Policy%20461216da2677487891bcd8a2b4a7ae48.md)
Incorrect Reporting,"Catastrophic Errors, Grade, Spot Check",,,,Storage,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,Not Completed,,,,,,,No,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Forum,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Not Completed,,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20b0a096bdbba349d48427527695e60405.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%20cee0cc643d944d34a7d45a3beede7b8e.md)",,,,No,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Not Completed,,,"General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%208a927a87b3f849028adecd73009fa7f9.md), General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%200367cf77db8e49cb989f9438f02e0144.md)",,,,No,,
Violation of Content Policy,Catastrophic Errors,,,,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,Not Completed,,,,,,,No,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,Storage,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,Not Completed,,,,,,,No,,
Pioneer Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,PIONEER_DEVELOPMENT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,Not Completed,,,Builder Score (Council%2021/Council%20Period%2017/Builder%20Score%20eb28116529474ccca2fe96572798b055.md),,,,No,,
Research Score,"Group Specific Scores, Subscore",,,RESEARCH_SCORE,Distributors,,Not Completed,,,,,,,No,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,PLAN_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Not Completed,,,General WG Score (Council%2021/Council%20Period%2017/General%20WG%20Score%2035a1074b057446808308068488d0b999.md),,,,No,,
Marketing Report,"Document, Forum Post, Proposal, Report",,,REPORT_SCORE,Marketing,,Not Completed,,,,,,,No,,
