"dataObjectsSize, GB",Numbers Of Bags,Utilization,bucket id,"dataObjectsSizeLIMIT, GB","obj(beginning), bytes","obj(end), bytes",objNumber(beginning),objNumber(end)
"2,403237241",1,0%,9,"931,3225746",2580456339,2580456339,12,12
"821,6078541",631,63%,2,"1303,851604",873801909245,882657656993,14597,14675
"821,6078541",631,44%,1,"1862,645149",873801909245,882657656993,14597,14675
"0,012317924",1,0%,10,"1396,983862",0,13226270,0,2
"0,012317924",1,0%,11,"1396,983862",n/a,n/a,n/a,n/a
0,0,0%,12,"1396,983862",0,13226270,0,2
"821,6078541",631,44%,4,"1862,645149",873801909245,882657656993,14597,14675
"821,6078541",631,63%,3,"1303,851604",873801909245,882657656993,14597,14675
"821,6078541",631,44%,6,"1862,645149",873801909245,882657656993,14597,14675
"0,246357907",1,0%,0,"1862,645149",264524788,264524788,40,40
"821,6078541",631,59%,8,"1396,983862",873801909245,882657656993,14597,14675
