Channel Title,Channel_URL,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest YPP Reward Status,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
 CRYPTO PEPE - ВСЕ О ЗАРАБОТКЕ И КРИПТОВАЛЮТЕ ,channel/UCKt1poZcDgcx5C1QLHTMp-g,"15,200",27126,0.0,0.0,0.0,0.0,Paid,0,"5,904"
 FREE_CRIPTO,channel/UCSIh4BLHIGSaye81yQIJa3g,204,26518,0.0,0.0,0.0,0.0,Paid,0,"9,090"
 ФИНИСТ AleksP.,channel/UCF-zjsSa1ov-9k4jMyK88lg,741,27428,1.0,1.0,0.0,0.0,Paid,75,"1,292"
⚡️Криптанчик⚡️,channel/UCnPgVBg-lNRvjfKit9MfSiA,290,26840,2.0,2.0,0.0,0.0,Paid,149,"2,809"
😍 NFT EUNYO 🔥,channel/UCxunR_Kr_TDglJTGsP3zKGQ,"16,800",27136,1.0,2.0,0.0,0.0,Paid,149,"11,136"
🟡 KOLYAN TREND - NFT and METAVERSE,channel/UChkaWsI-P3LULw2Ptm0Ck2g,"5,910",26363,1.0,2.0,0.0,0.0,Paid,154,"52,662"
$CCC$ - CryptoCurrencyCommunity,channel/UCDuWTfkAk4ctUSEcCWdW8cQ,"68,200",28011,0.0,0.0,100.0,0.0,Paid,"7,450","7,450"
0xNina,channel/UChX-0k8y13GVAyhNTXlrrJA,179,26291,0.0,0.0,0.0,0.0,Paid,0,"5,000"
40 Plus о КРИПТЕ,channel/UCTZ8tVJs7J-rAHm-9ylO3iw,"12,400",26236,1.0,2.0,0.0,0.0,Paid,149,"108,729"
Abdykasymov БЛОГ,channel/UCu_7tdKgKYjP3z4RSXEZQyg,850,26412,0.0,0.0,0.0,0.0,Paid,0,"5,000"
Agunk Rejectz,channel/UClJNVh0QZyrtmV41PZEmtqw,"328,000",27862,0.0,0.0,100.0,0.0,Paid,"7,450","7,450"
Aimaniko_CryptoJob ,channel/UCR3qHNfvmyb8dl0MyNqOkgA,210,27857,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Airdrop Alert Daily: News & Updates,channel/UC4eiyVT7hjkJ2EuTbzYMRhQ,"10,500",26425,0.0,0.0,0.0,0.0,Paid,0,"15,448"
AIRDROP ЖДУН,channel/UCYJZtoJgW07CuzEQi7WjEVQ,561,27745,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Aleksandr,channel/UCScG4B1Nd4t7xKVo2K4zLsA,106,22639,0.0,0.0,0.0,0.0,Paid,0,"7,941"
Alex Shchukin - ЗАРАБОТОК В ИНТЕРНЕТЕ,channel/UCYSAJF7fJMEHgKAg1znIRQA,"1,640",27319,2.0,2.0,0.0,0.0,Paid,149,"1,428"
