Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Completed,,,Distributor Score (Council%2012/Council%20Period%2012/Distributor%20Score%207d6cf020570c4b519936a2cd1b8e7a39.md),,0.167,,No,,,,
Content Score,"Composite Grade, Master Score",,,CONTENT_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,Completed,,,Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),,0.413,,No,,,,"General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20f06980011a00451e994f06bf2b6ad23a.md), Content Report (Council%2012/Council%20Period%2012/Content%20Report%206d84615e83e64e5ea1d19d4a371cb64b.md), Featuring Score (Council%2012/Council%20Period%2012/Featuring%20Score%2085047c92ab7844e3ab0a7afc10a7c604.md), Moderation Score (Council%2012/Council%20Period%2012/Moderation%20Score%204a0c0d7722284b349d93f22d481a1d6b.md), Logging does not occur (Council%2012/Council%20Period%2012/Logging%20does%20not%20occur%20dd368f3c27014da8b5a6d419c77ff4af.md), Featured Content Unplayable (Council%2012/Council%20Period%2012/Featured%20Content%20Unplayable%209e0b0d428394484eafb9c58659398ed6.md), Failure to apply moderation rules (Council%2012/Council%20Period%2012/Failure%20to%20apply%20moderation%20rules%20c3196df308e84ff2b7ca992328fd38b6.md), Curation Testing Score (Council%2012/Council%20Period%2012/Curation%20Testing%20Score%2096ffab775a484d32a2646ab838c61e65.md)"
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20744c2bf3d4c34535be8f4f4ff56974eb.md),,1,,No,,,,
Response Time,"Group Specific Scores, Subscore",,,RESPONSE_TIME_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,Completed,,,HR Score (Council%2012/Council%20Period%2012/HR%20Score%20db46b31a95e24ab890ea00725ba164a4.md),,1,,No,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",https://dao.joystream.org/#/forum/thread/302,,SUMMARY_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,"General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%2026d436d6a638405299ac15f6c516786d.md), General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%204fad7561bd90486c9c0808f3060eff7a.md)",,1,On time,No,1263067,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20f06980011a00451e994f06bf2b6ad23a.md),,0,,No,,,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Storage,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%20744c2bf3d4c34535be8f4f4ff56974eb.md),,0.6,,No,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,General WG Score (Council%2012/Council%20Period%2012/General%20WG%20Score%205052b5752f794d3386b1117850b7d15d.md),,0.125,,No,,,,
Bounty Management Score,"Group Specific Scores, Subscore",,,BOUNTY_MANAGEMENT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,Completed,,,HR Score (Council%2012/Council%20Period%2012/HR%20Score%20db46b31a95e24ab890ea00725ba164a4.md),,1,,No,,,,
Council Period Plan,"Document, Forum Post, Grade, Master Score, Proposal",https://dao.joystream.org/#/forum/thread/287,https://dao.joystream.org/#/forum/category/4,PLAN_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,Completed,,,Network Performance Score (Council%2012/Council%20Period%2012/Network%20Performance%20Score%20df364e5f888146fe84fa0f66484c0bc7.md),,0.9,Late submission,No,1236076,,,
