Channel Title,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest YPP Reward Status,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
 CRYPTO PEPE - ВСЕ О ЗАРАБОТКЕ И КРИПТОВАЛЮТЕ ,"15,200",27126,0,0,0,0,Paid,0,"5,904"
 FREE_CRIPTO,204,26518,0,0,0,0,Paid,0,"9,090"
 Investor Manager,68,29073,0,0,0,0,Paid,0,195
 ФИНИСТ AleksP.,737,27428,0,0,0,0,Paid,0,"1,292"
$CCC$ - CryptoCurrencyCommunity,"67,800",28011,1,4,0,0,Paid,150,"7,600"
0xNina,185,26291,0,0,0,0,Paid,0,"5,062"
10X Kiếm Tiền,"175,000",29063,1,5,0,0,Paid,188,"2,339"
1분NFT,"32,000",29352,0,0,30,0,Paid,"1,128","1,128"
40 Plus о КРИПТЕ,"12,600",26236,1,2,0,0,Paid,75,"108,804"
Aahira Chhabra,"28,400",28350,0,0,0,0,Paid,0,"4,161"
Abdul Aslam,"4,950",28157,0,0,0,0,Paid,0,"1,251"
Abdykasymov БЛОГ,848,26412,0,0,0,0,Paid,0,"5,000"
Abou Haytam أبو هيثم,"8,680",29135,0,0,0,0,Paid,0,782
Abourayhana - أبوريحانة,"2,520",28655,3,3,0,0,Paid,113,"2,019"
ABUNABIL☬ALBREAM,164,28301,0,0,0,0,Paid,0,316
Agunk Rejectz,"328,000",27862,0,0,0,0,Paid,0,"7,762"
Aimaniko_CryptoJob ,225,27857,1,0,0,0,Paid,0,"1,552"
Ainur Yusupov,69,28853,0,0,0,0,Paid,0,316
Airdrop Alert Daily: News & Updates,"10,500",26425,0,0,0,0,Paid,0,"15,448"
Airdrop inside,"16,900",29324,4,6,20,5,Paid,"1,166","1,165"
AIRDROP ЖДУН,636,27745,0,0,0,0,Paid,0,"1,552"
AIRDROPSTAR01,133,28856,0,0,0,0,Paid,0,316
Aleksandr,105,22639,0,0,0,0,Paid,0,"7,941"
Alex Shchukin - ЗАРАБОТОК В ИНТЕРНЕТЕ,"1,680",27319,2,2,0,0,Paid,75,"1,808"
ALEX WORK-Заработок и инвестиции в интернете,831,26961,0,0,0,0,Paid,0,"2,375"
Alexey Ponomarev,"3,710",26665,2,2,0,0,Paid,75,"6,850"
ALI_WALID16,"3,280",28842,0,0,0,0,Paid,0,671
All_in_One,"3,170",29362,0,0,10,0,Paid,376,376
Alzeer mining crypto,446,28180,1,0,0,0,Paid,0,"1,251"
AMMONEY,"2,210",27340,0,0,0,0,Paid,0,"1,218"
Ander Win,"1,190",26592,4,3,0,0,Paid,113,"41,782"
anton777xd.crypto,218,27229,0,0,0,0,Paid,0,"1,218"
Anyobservation,"3,710",26761,0,0,0,0,Paid,0,"3,652"
APOK MONEY,"1,000",27241,0,0,0,0,Paid,0,"1,353"
AR-money77,462,26550,0,0,0,0,Paid,0,"25,194"
ArtiTrade про Криптовалюты и Инвестиции,"1,730",27893,0,0,0,0,Paid,0,"1,893"
ARTUR HASLEY,"12,000",27387,0,0,0,0,Paid,0,"3,522"
Avseenko-life,"182,000",26295,1,5,0,0,Paid,188,"215,399"
azhar is,56,28129,0,0,0,0,Paid,0,"1,251"
B i t c o,"2,020",27520,0,0,0,0,Paid,0,"1,665"
BADRE BADREDDINE,"37,400",28205,2,6,0,0,Paid,226,"5,572"
Baikov Invest,"4,290",26653,1,1,0,0,Paid,38,"6,615"
Banlife,"36,800",27434,0,0,0,0,Paid,0,"3,294"
Bassam Maqboul,"6,330",27615,0,0,0,0,Paid,0,"3,047"
BaTtLeX Crypto,"1,170",26607,1,1,0,0,Paid,38,"9,005"
BD Technical Hasib,"1,150",28304,0,0,0,0,Paid,0,"1,516"
Ben Popov,"6,180",28214,3,6,0,0,Paid,226,"3,083"
Bisnes Planet,"1,040",27622,3,3,0,0,Paid,113,"1,983"
Bitcoin & Crypto con Maury,"21,700",27874,6,6,0,0,Paid,226,"6,559"
Bitvisitor,466,26571,0,0,0,0,Paid,0,"10,588"
Blockchain Adda,553,29216,1,0,5,0,Paid,188,188
Blockchain Inside Out,478,28795,4,0,0,0,Paid,0,316
BLOCKCHAIN MONKEYZ,"4,280",29379,0,0,10,0,Paid,376,376
BLOG CRYPTONA,307,26696,1,0,0,0,Paid,0,"7,430"
Boa Dica Cryptomoedas,"10,300",27707,0,0,0,0,Paid,0,"4,829"
Bon Bon,223,28758,0,0,0,0,Paid,0,316
Böyük Pullar,"6,980",27063,2,4,0,0,Paid,150,"9,624"
BP CRYPTO HUB,"1,680",28292,1,1,0,0,Paid,38,"4,346"
Braavos Wallet on StarkNet,"1,610",29370,0,0,10,0,Paid,376,376
Brandon Duff - The Boring Passive Income Guy,"6,180",25941,2,4,0,0,Paid,150,"167,350"
Bruel Games,"3,730",26320,5,3,0,0,Paid,113,"23,172"
BSC MASTER,"122,000",26756,1,5,0,0,Paid,188,"30,281"
bulevar - AKTIV,46,26055,0,0,0,0,Paid,0,"5,000"
Business in trend,749,27567,0,0,0,0,Paid,0,"1,218"
byArto,"5,850",27725,1,2,0,0,Paid,75,"4,279"
Captain Crypto,"10,100",29287,0,0,20,0,Paid,752,752
casperer,"121,000",26764,2,10,0,0,Paid,376,"22,992"
Cawa Money,948,27149,3,0,0,0,Paid,0,"3,672"
Channel KiemtienFree,"1,100",28747,0,0,0,0,Paid,0,671
ClaimDrop | Airdrop Community,651,28872,0,0,0,0,Paid,0,316
CloudGeo,"23,500",27466,0,0,0,0,Paid,0,"3,400"
CNMA,"1,030",28293,0,0,0,0,Paid,0,632
CodeBlockLabs,"2,000",29057,0,0,0,0,Paid,0,391
Coin Brain,"2,020",26897,0,0,0,0,Paid,0,"2,373"
"Coin Explain - криптовалюта, блокчейн, NFT","1,480",27190,1,1,0,0,Paid,38,"2,896"
COIN POCKET,50,28000,0,0,0,0,Paid,0,"1,877"
Coin Review,"8,120",28136,1,2,0,0,Paid,75,"3,282"
COIN ROOM,"151,000",26632,0,0,0,0,Paid,0,"25,690"
coinfree,"76,800",28809,0,0,0,0,Paid,0,"2,528"
COINTROL,"255,000",29050,0,0,0,0,Paid,0,"1,956"
COOPERXGOD Crypto,425,27012,0,0,0,0,Paid,0,"3,007"
Corki Buchek,"167,000",28587,2,10,0,0,Paid,376,"7,719"
COSMOS Indicator,128,27819,0,0,0,0,Paid,0,"1,564"
CRAZY MONEY,628,26765,1,0,0,0,Paid,0,"3,777"
Criptoadicto Ruso hablando español,99,26085,0,0,0,0,Paid,0,"6,470"
CriptoTime,"4,040",26784,0,0,0,0,Paid,0,"10,027"
Cristy Verse,"28,100",26497,0,0,0,0,Paid,0,"124,179"
Crypt-ai,"32,500",28251,0,0,0,0,Paid,0,"2,874"
CryptInvest,89,27008,1,0,0,0,Paid,0,"4,937"
Crypto 4Light,"10,400",26759,5,6,0,0,Paid,226,"20,641"
Crypto Addict,"38,000",29255,0,0,30,0,Paid,"1,128","1,128"
crypto alert,"10,700",28909,3,6,0,35,Paid,"1,542","2,559"
𝐂𝐫𝐲𝐩𝐭𝐨 𝐀𝐬𝐢𝐚,"10,000",27523,1,2,0,0,Paid,75,"3,905"
Crypto Awaz,"3,000",25917,0,0,0,0,Paid,0,"12,078"
Crypto Aysh,"5,110",27966,0,0,0,0,Paid,0,"3,725"
Crypto Banan,"163,000",26820,0,0,0,0,Paid,0,"19,420"
CRYPTO Bang  Boy,"8,780",28781,0,0,0,0,Paid,0,"1,264"
