Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License
26932,Terizla Gameplay - Mobile Legends,en,Songoku Channel,songoku,246,238775482,7,Gaming,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26932,,CC0
26933,Bees Heaven Sunflowers,en,ferdikesh_studio,ferdikesh_studio,18,12501394,6,Travel & Events,1002,,stock video,,,https://play.joystream.org/video/26933,,CC0
26934,Pure Nature,en,ferdikesh_studio,ferdikesh_studio,50,25624820,6,Travel & Events,1002,,stock video,,,https://play.joystream.org/video/26934,26932,CC0
26935,Live City,en,ferdikesh_studio,ferdikesh_studio,15,29507938,6,Travel & Events,1002,,Not found,,,https://play.joystream.org/video/26935,,CC0
26937,Stars,en,ferdikesh_studio,ferdikesh_studio,40,29647288,1,Film & Animation,1002,,stock video,,,https://play.joystream.org/video/26937,26937,CC0
26938,How to Vote in Council Elections,en,Joystream Tutorials by Songoku,songoku,48,12452603,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26938,,CC0
26939,forest and fog,en,test_hsn,tes_hsn,59,22478887,6,Travel & Events,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26939,,CC0
26940,Robin - 21723,en,test_hsn,tes_hsn,21,5258973,6,Travel & Events,1002,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=q6NbK06_Yfc,,,https://play.joystream.org/video/26940,26940,CC0
26941,earth in space,en,test_hsn,tes_hsn,31,9840497,14,Science & Technology,1002,,stock video,,,https://play.joystream.org/video/26941,26941,CC0
26942,How to Send TJoy to Another Wallet,en,Joystream Tutorials by Songoku,songoku,50,6390878,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26942,,CC0
26943,Answers and vocabulary for EVENING TIME | IELTS Speaking P1,en,Success with IELTS,vaaanish,847,1091316958,13,Education,1002,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=dnlsjlZKf2w,,,https://play.joystream.org/video/26943,,CC0
26944,Frambor from barley cob,en,Frambor voice,frambor,16,24069292,12,Howto & Style,1002,,No video,,,https://play.joystream.org/video/26944,26944,CC0
26945,Frambor Throw off the sadness mask,en,Frambor voice,frambor,10,12604974,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26945,,CC0
26946,Че По Космосу #13 | Владимир Понимающий & CryptoQ,ru,CryptoLodes.,cryptolodes,3847,452463773,13,Education,1002,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=tS7C9355k8o,,,https://play.joystream.org/video/26946,,CC0
26947,Editing a title,en,Test channel name,toiletgranny,19,6234342,6,Travel & Events,1000,,stock video,,,https://play.joystream.org/video/26947,,
26949,How to Upload Video on Joystream,en,Joystream Tutorials by Songoku,songoku,102,15598030,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26949,,CC0
26951,Flowers,en,Kara Kovan,magari,4,2330144,6,Travel & Events,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26951,,CC0
26952,@ Mainnet Day,en,ISO 400,isonar,59,4843867,8,People & Blogs,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26952,26952,CC0
26953,Че По Нодам #30 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,5589,4185264627,14,Science & Technology,1002,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=zwAGJZcasII,,,https://play.joystream.org/video/26953,,CC0
26954,small video,en,crypto channel,memberaaaa,13,574823,10,Entertainment,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26954,,CC0
26955,How to Apply in a Working Group (WG) Opening,en,Joystream Tutorials by Songoku,songoku,95,16213759,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26955,,CC0
26956,Omega Collective Curation Test,en,InfiniteImaginarium,infinteimaginarium,879,572460363,14,Science & Technology,1002,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=JvJ9t9gnu2Y,,,https://play.joystream.org/video/26956,,CC0
26957,The Rhythm Of Life,en,SatoriD,infinteimaginarium,361,73717609,10,Entertainment,1002,Creative Commons Attribution license (reuse allowed),https://www.youtube.com/watch?v=5IbkXMgy7PM,,,https://play.joystream.org/video/26957,,CC0
26955,How to Apply in a Working Group (WG) Opening,en,Joystream Tutorials by Songoku,songoku,95,16213759,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26955,,CC0
26958,Стёпа,ru,Sermix,sermix,243,472552344,9,Comedy,1002,Creative Commons Attribution license (reuse allowed)," - ",,,https://play.joystream.org/video/26958,26958,CC0
26954,small video,en,crypto channel,memberaaaa,13,574823,10,Entertainment,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26954,26954,CC0
26959,Луна момент,ru,Sermix,sermix,221,391476103,9,Comedy,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26959,26959,CC0
26956,Omega Collective Curation Test,en,InfiniteImaginarium,infinteimaginarium,879,572460363,14,Science & Technology,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26956,,CC0
26963,What is joystream? Simply defined,en,MWG Official,MWG,288,154772248,14,Science & Technology,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26963,,CC0
26960,This is How Imaginarium First Started,en,TheMindsUnderground,infinteimaginarium,412,80896729,10,Entertainment,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26960,,CC0
26964,Answers and vocabulary for SPORTS PROGRAMMES 🏟️,en,Success with IELTS,vaaanish,846,1089917793,13,Education,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26964,,CC0
26965,How to Recover TJoys after an Election Term,en,Joystream Tutorials by Songoku,songoku,66,7336530,12,Howto & Style,1002,Original video for JoyStream,Original Video for Joystream,,,https://play.joystream.org/video/26965,,CC0
