Proposal Number,Name,Blockheight,Date,Proposal Type,Author,Proposal Status,Amount (spending proposal),Text,Working Group,Council Approvals,Community Roadmap - Mainnet,Tags,URL
1,invalid rationale string,157074,"December 20, 2022 19:42 (GMT+1)",FundingRequestProposalDetails,mkblockchaindev,,,,,0,,,
2,invalid rationale string,157250,"December 20, 2022 20:00 (GMT+1)",FundingRequestProposalDetails,mkblockchaindev,,,,,0,,,
3,invalid rationale test1,157366,"December 20, 2022 20:12 (GMT+1)",FundingRequestProposalDetails,mkblockchaindev,,,,,0,,,
4,Test for invalid Rationale string,157401,"December 20, 2022 20:15 (GMT+1)",FundingRequestProposalDetails,mkblockchaindev,,,,,0,,,
5,#3994,185481,"December 22, 2022 19:03 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,joystreamstats,,,,,0,,,
6,test proposal,281860,"December 29, 2022 11:41 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,0,,,
7,test proposal,281879,"December 29, 2022 11:43 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,0,,,
8,test,281893,"December 29, 2022 11:45 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,0,,,
9,Hire Storage WG Lead,350960,"January 2, 2023 23:09 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
10,Create Distribution WG Lead Opening,351002,"January 2, 2023 23:24 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
11,Create Forum Lead Opening,355342,"January 2, 2023 23:28 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,1,,,
12,Create Membershiip WG Lead Opening,360689,"January 3, 2023 13:41 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
13,MWG Lead Opening,356890,"January 3, 2023 14:46 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,ismail,,,,,1,,,
14,Update the Membership WG budget,356945,"January 3, 2023 15:26 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,adovrn,,,,,1,,,
