Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Property 3,Proposal Link,Score,Score Notes,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link,Weight
General WG Score,"Composite Grade, General WG Score",,,,,,,,,,,GENERAL_WG_SCORE,Storage,,,,Completed,,,,,,,Storage Score (Council%2010/Council%20Period%2010/Storage%20Score%20cd68026677b9495cb23d38d33a98a0bb.md),,,,,"Incorrect Data,On time,On time",,0.445,,No,,,,,"WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%202ab443d5b3e6482990febf7813e64dd3.md), WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20bff41ecab14c49d19931d546160e3363.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%2073005ffd21634c668bd7f0acd9362f35.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20a078f88bb8b44f78b2fca5f6c35a7035.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%2009efaea967ef412484002247874a36b3.md)",,,
Unwarranted deletion,Catastrophic Errors,,,,,,,,,,,,Forum,,,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,,Not Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,,,,,No,,,,,,,,
Meeting score,"Forum Post, Master Score",,,,,,,,,,,MEETING_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,,0.896,,No,,,,,,,,
HR Score,"Composite Grade, Master Score",,,,,,,,,,,HR_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#score,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,On time,,0.798,,No,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md), HR Report (Council%2010/Council%20Period%2010/HR%20Report%200e8de6cec5254b9fbb041138e10d9473.md), Response Time (Council%2010/Council%20Period%2010/Response%20Time%20ac565bd2831a451d99d8163659887fdf.md), Person Logging Score (Council%2010/Council%20Period%2010/Person%20Logging%20Score%20094cf989c49e401eaf99a6b2f5f2e100.md), Interaction Logging Score (Council%2010/Council%20Period%2010/Interaction%20Logging%20Score%20c35392bdf9c04ec79651223bb2e04159.md), Bounty Management Score (Council%2010/Council%20Period%2010/Bounty%20Management%20Score%20b042e90f11bc42a090307dfdf5713d04.md)",,,
General WG Score,"Composite Grade, General WG Score",,,,,,,,,,,GENERAL_WG_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,"Incomplete (Did not fulfill all requirements),No Forum Post found,On time",,0.346,,No,,,,,"WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%205aa1000bcc1f4b0d98b3597ca4deca6d.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%2095d4acaa3b81448daec1c2b6675d9960.md), WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%203407031b889b4dd8923e822f6152224c.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20636986c5f3ed4f02ac0abedd2a6083b6.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20950374040853458f80c70dbb6fab0842.md)",,,
General WG Score,"Composite Grade, General WG Score",,,,,,,,,,,GENERAL_WG_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,,Not Completed,,,,,,,Distributor Score (Council%2010/Council%20Period%2010/Distributor%20Score%20501417c8484f41d48b43e07d82170356.md),,,,,"On time,No Submission found (at all)",,0.134,,No,,,,,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20907d0c5a5a21428093f0a2817ad4aa6f.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%2014a78d8652044bc2859e4bca9a71f6cb.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%201d8744dbe49d4818a896e765d97ba831.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%2054d3888d43694b259d73445dba323819.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20a7fbfea46c9740948313e4a590bd47c8.md)",,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),,,,,,,0.567,,No,,,,,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal",,,,,,,,https://dao.joystream.org/#/forum/thread/173?post=358,,,PLAN_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),,,,,,https://dao.joystream.org/#/proposals/preview/245,0.9,On time,No,,973981,,,,,,
Bounty Management Score,"Group Specific Scores, Subscore",,,,,,,,,,,BOUNTY_MANAGEMENT_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,,Completed,,,,,,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),,,,,,,1,,No,,,,,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/206,https://dao.joystream.org/#/forum/category/12,,SUMMARY_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md),,,,,,,1,On time,No,,1042117,,,,,,
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,,0.25,,No,,,,,,,,
