Id,Title,Language,Channel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License,Curator,Date,Comment,Mark it [!] if video is good! (Interesting/Quality),If the download speed is slow when viewed / in seconds.
27247,Vexana Gameplay - Mobile Legends Bang Bang,en,Songoku Channel,songoku,403,419576572,7,Gaming,1002,original content,Original video for Joystream,"August 1, 2022 11:58 AM (GMT+1)","August 1, 2022 11:58 AM (GMT+1)",https://play.joystream.org/video/27247,0,CC0,prontera,"August 10, 2022",,,
27258,Be Positive!,en,Songoku Channel,songoku,10,10656626,8,People & Blogs,1002,original content,Original video for Joystream,"August 3, 2022 5:30 AM (GMT+1)","August 3, 2022 5:30 AM (GMT+1)",https://play.joystream.org/video/27258,0,CC0,prontera,"August 10, 2022",,,
27261,Blank Canvas that Enables Us to Create,en,InfiniteImaginarium,infinteimaginarium,1527,426070005,10,Entertainment,1002,Creative Commons,https://www.youtube.com/watch?v=H_tXHljcB0w,"August 5, 2022 12:16 AM (GMT+1)","August 5, 2022 12:16 AM (GMT+1)",https://play.joystream.org/video/27261,0,CC0,Songoku,"August 4, 2022",,,
27272,4315084746029293991,en,drog,droginfo,101,32130761,11,News & Politics,1002,Standard YouTube license,https://youtu.be/DjT6AMAxEt4,"August 6, 2022 1:17 PM (GMT+1)","August 6, 2022 1:17 PM (GMT+1)",https://play.joystream.org/video/27272,0,CC0,ferdikesh_studio,"August 8, 2022",Massive view numbers,,
27273,(-)8291417054818571024,en,drog,droginfo,38,12138074,11,News & Politics,1002,Standard YouTube license,https://youtu.be/DjT6AMAxEt4,"August 6, 2022 1:17 PM (GMT+1)","August 6, 2022 1:17 PM (GMT+1)",https://play.joystream.org/video/27273,0,CC0,ferdikesh_studio,"August 8, 2022",Massive view numbers,,
27275,"New Room, New Game",en,The MindsGaming Show,mindsgaming,3417,476446413,8,People & Blogs,1002,Original video for Joystream,Original video for Joystream,"August 6, 2022 11:17 PM (GMT+1)","August 6, 2022 11:17 PM (GMT+1)",https://play.joystream.org/video/27275,27275,CC0,ferdikesh_studio,"August 8, 2022",,,
27274,"New Room, New Game",en,The MindsGaming Show,mindsgaming,3417,476446413,8,People & Blogs,1002,Original video for Joystream,Original video for Joystream,"August 6, 2022 11:16 PM (GMT+1)","August 6, 2022 11:16 PM (GMT+1)",https://play.joystream.org/video/27274,27274,CC0,ferdikesh_studio,"August 8, 2022",,,
27251,Space Mushroom Stage through the MTCG hub,en,Eclipsing Binary,eclipsingbinary,387,163471206,10,Entertainment,1002,Original video,not found,"August 2, 2022 1:10 AM (GMT+1)","August 2, 2022 1:10 AM (GMT+1)",https://play.joystream.org/video/27251,0,CC0,spat_sochi,"August 2, 2022",,,
27252,Video.Guru 20220802 085906818,en,MY WORK ; Creative short intro,280,12,19986226,1,Film & Animation,1002,Original video for Joystream,Original video for Joystream,"August 2, 2022 9:37 AM (GMT+1)","August 2, 2022 9:37 AM (GMT+1)",https://play.joystream.org/video/27252,0,CC0,spat_sochi,"August 2, 2022",,,
27253,How to Delete Video in Joystream Atlas,en,MWG Official,MWG,68,9900799,14,Science & Technology,1002,Original video for Joystream,Original video for Joystream,"August 2, 2022 4:55 PM (GMT+1)","August 2, 2022 4:55 PM (GMT+1)",https://play.joystream.org/video/27253,0,CC0,spat_sochi,"August 2, 2022",,,
27254,How to Mint your Joystream Video into an NFT,en,MWG Official,MWG,129,78808091,14,Science & Technology,1002,Original video for Joystream,Original video for Joystream,"August 2, 2022 5:07 PM (GMT+1)","August 2, 2022 5:07 PM (GMT+1)",https://play.joystream.org/video/27254,0,CC0,spat_sochi,"August 2, 2022",,,
27256,Че По Космосу #17 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,4103,489752693,14,Science & Technology,1002,Creative commons,https://www.youtube.com/watch?v=-RI1eD2zjng,"August 2, 2022 10:17 PM (GMT+1)","August 2, 2022 10:17 PM (GMT+1)",https://play.joystream.org/video/27256,0,CC0,spat_sochi,"August 2, 2022",,,
27255,Using Metamask On MTCG,en,The MindsGaming Show,mindsgaming,195,25145184,12,Howto & Style,1002,original content,not found,"August 2, 2022 9:55 PM (GMT+1)","August 2, 2022 9:55 PM (GMT+1)",https://play.joystream.org/video/27255,0,CC0,spat_sochi,"August 8, 2022",,,
27260,"Че По Нодам #35 | Solana hack, Nomad hack, SUI, Aptos, Evmos",ru,CryptoLodes.,cryptolodes,5318,622524474,14,Science & Technology,1002,Creative commons,https://www.youtube.com/watch?v=EycxHnTFiho,"August 3, 2022 8:57 PM (GMT+1)","August 3, 2022 8:57 PM (GMT+1)",https://play.joystream.org/video/27260,0,CC0,spat_sochi,"August 8, 2022",,,
27263,How to Change Cover Image of a Joystream Channel,en,Joystream Tutorials by Songoku,songoku,80,38470337,12,Howto & Style,1002,Original video for Joystream,Original video for Joystream,"August 5, 2022 5:40 AM (GMT+1)","August 5, 2022 5:40 AM (GMT+1)",https://play.joystream.org/video/27263,0,CC0,spat_sochi,"August 8, 2022",,,
27276,How to Sell a Joystream Atlas NFT (Fixed Price),en,Joystream Tutorials by Songoku,songoku,90,15932947,12,Howto & Style,1002,Original License,-,"August 7, 2022 3:09 AM (GMT+1)","August 7, 2022 3:09 AM (GMT+1)",https://play.joystream.org/video/27276,0,CC0,arseniy2706,"August 8, 2022",,,
27278,Mi Mama Nos Muestra su Cocina en el Rancho,es,Las Recetas del Rancho,delranchorecipes,252,161712406,8,People & Blogs,1007,Original License,-,"August 7, 2022 7:07 PM (GMT+1)","August 7, 2022 7:07 PM (GMT+1)",https://play.joystream.org/video/27278,27278,CC_BY_NC_SA,arseniy2706,"August 8, 2022",,,
27279,Answers and vocabulary for ADVERTISEMENTS | IELTS Speaking,en,Success with IELTS,vaaanish,1160,1496038548,13,Education,1002,Original License,-,"August 7, 2022 8:46 PM (GMT+1)","August 7, 2022 8:46 PM (GMT+1)",https://play.joystream.org/video/27279,0,CC0,arseniy2706,"August 8, 2022",,,
27281,Pranked himself,en,PrettyFreak,prettyfreak,293,79335772,10,Entertainment,1002,Original License,-,"August 7, 2022 9:15 PM (GMT+1)","August 7, 2022 9:15 PM (GMT+1)",https://play.joystream.org/video/27281,0,CC0,arseniy2706,"August 8, 2022",,,
27282,Joystream animated logo,en,PrettyFreak,prettyfreak,7,1727077,10,Entertainment,1002,Original License,-,"August 7, 2022 9:21 PM (GMT+1)","August 7, 2022 9:21 PM (GMT+1)",https://play.joystream.org/video/27282,0,CC0,arseniy2706,"August 8, 2022",,,
27283,Joystream animated logo video,en,PrettyFreak,prettyfreak,7,13627327,10,Entertainment,1002,Original License,-,"August 7, 2022 9:40 PM (GMT+1)","August 7, 2022 9:40 PM (GMT+1)",https://play.joystream.org/video/27283,0,CC0,arseniy2706,"August 8, 2022",,,
27284,Where The Culture Should Be,en,SatoriD,infinteimaginarium,334,232097359,10,Entertainment,1002,original content,not found,"August 8, 2022 3:22 AM (GMT+1)","August 8, 2022 3:22 AM (GMT+1)",https://play.joystream.org/video/27284,0,CC0,spat_sochi,"August 8, 2022",,,
27285,How to Buy a Joystream Atlas NFT (Fixed Price),en,Joystream Tutorials by Songoku,songoku,100,30644030,12,Howto & Style,1002,Original video for Joystream,Original video for Joystream,"August 8, 2022 3:52 AM (GMT+1)","August 8, 2022 3:52 AM (GMT+1)",https://play.joystream.org/video/27285,0,CC0,spat_sochi,"August 8, 2022",,,
27286,How to Install GCASH in HUAWEI Phones,en,Songoku Channel,songoku,137,142689443,14,Science & Technology,1002,original content,not found,"August 8, 2022 4:13 AM (GMT+1)","August 8, 2022 4:13 AM (GMT+1)",https://play.joystream.org/video/27286,0,CC0,spat_sochi,"August 8, 2022",,,
27277,Improvements to space mushrooms stage,en,Eclipsing Binary,eclipsingbinary,368,750936057,10,Entertainment,1002,original content,not found,"August 7, 2022 7:04 PM (GMT+1)","August 7, 2022 7:04 PM (GMT+1)",https://play.joystream.org/video/27277,0,CC0,spat_sochi,"August 8, 2022",,,
27287,Upcoming Collab Clip,en,Eclipsing Binary,eclipsingbinary,29,61870831,3,Music,1002,original content,not found,"August 8, 2022 12:17 PM (GMT+1)","August 8, 2022 12:17 PM (GMT+1)",https://play.joystream.org/video/27287,0,CC0,spat_sochi,"August 8, 2022",,,
27264,Breederdao flag,en,Content,igormig,30,13000499,1,Film & Animation,1002,original content,-,"August 5, 2022 11:36 AM (GMT+1)","August 5, 2022 11:36 AM (GMT+1)",https://play.joystream.org/video/27264,0,CC0,prontera,"August 10, 2022",,,
27265,Cega intro,en,Content,igormig,23,9457392,4,Pets & Animals,1002,original content,-,"August 5, 2022 11:45 AM (GMT+1)","August 5, 2022 11:45 AM (GMT+1)",https://play.joystream.org/video/27265,0,CC0,prontera,"August 10, 2022",,,
27266,Connext intro,en,Content,igormig,15,7987195,1,Film & Animation,1002,original content,-,"August 5, 2022 11:50 AM (GMT+1)","August 5, 2022 11:50 AM (GMT+1)",https://play.joystream.org/video/27266,0,CC0,prontera,"August 10, 2022",,,
27267,Espresso Systems,en,Content,igormig,9,1225251,1,Film & Animation,1002,original content,-,"August 5, 2022 11:55 AM (GMT+1)","August 5, 2022 11:55 AM (GMT+1)",https://play.joystream.org/video/27267,0,CC0,prontera,"August 10, 2022",,,
27268,Kyve network introduction,en,Content,igormig,48,40855985,13,Education,1002,original content,-,"August 5, 2022 12:01 PM (GMT+1)","August 5, 2022 12:01 PM (GMT+1)",https://play.joystream.org/video/27268,0,CC0,prontera,"August 10, 2022",,,
27269,Kyve network introduction,en,Content,igormig,66,64465800,13,Education,1002,original content,-,"August 5, 2022 12:21 PM (GMT+1)","August 5, 2022 12:21 PM (GMT+1)",https://play.joystream.org/video/27269,0,CC0,prontera,"August 10, 2022",,,
27270,Kyve network introduction,en,Content,igormig,64,11447866,13,Education,1002,original content,-,"August 5, 2022 12:29 PM (GMT+1)","August 5, 2022 12:29 PM (GMT+1)",https://play.joystream.org/video/27270,0,CC0,prontera,"August 10, 2022",,,
27271,“Break The News” On Neon Abyss,en,#MindsGaming,mindsgaming,192,131324824,7,Gaming,1003,original content,-,"August 5, 2022 4:02 PM (GMT+1)","August 5, 2022 4:02 PM (GMT+1)",https://play.joystream.org/video/27271,0,CC_BY,prontera,"August 10, 2022",,,
27257,Gremlins In The Machine (Imaginarium Edition),en,TheMindsUnderground,infinteimaginarium,5188,3492162315,10,Entertainment,1002,Original video for Joystream,-,"August 3, 2022 12:35 AM (GMT+1)","August 3, 2022 12:35 AM (GMT+1)",https://play.joystream.org/video/27257,0,CC0,prontera,"August 10, 2022",,,
