Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores
Forum Score,"Composite Grade, Master Score",,,FORUM_SCORE,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#score,Completed,,,,,0.757,,No,,,,"Forum Report (Council%2013/Council%20Period%2013/Forum%20Report%2009f5145d32cd4bfdb96ff9a3da84204b.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), Moderation Score (Council%2013/Council%20Period%2013/Moderation%20Score%20e2e8e1d61bae404187536ccfbf22ffbf.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)"
General Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,GENERAL_DEVELOPMENT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,Completed,,,Builder Score (Council%2013/Council%20Period%2013/Builder%20Score%204271b831b6884c638e69914cc1aa69c5.md),,1,,No,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",https://dao.joystream.org/#/forum/thread/336,https://dao.joystream.org/#/forum/category/12,SUMMARY_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20ffe15f7802404037b3af1b9425741817.md),,1,On time,No,1387040,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal",https://dao.joystream.org/#/forum/thread/308,,PLAN_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2064a9fad469194a6eb58b86b8510ff9dc.md),,1,On time,No,1287812,,,
Lead Opportunities,"Grade, Master Score",,,LEAD_OPPORTUNITIES_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#lead-opportunities,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,1,,No,,,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,Completed,,,,,,,No,,,,
Violation of Content Policy,Catastrophic Errors,,,,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#catastrophic-errors,Not Completed,,,,,,,No,,,,
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)",,1,,No,,,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20d92b2286d608415dbc8dd29cf92788fa.md),,1,,No,,,,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check",,,,Distributors,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,Not Completed,,,,,,,No,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/315,,PLAN_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md),,0.2,Incomplete (Did not fulfill all requirements),No,1327189,,,
Response Time,"Group Specific Scores, Subscore",,,RESPONSE_TIME_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,Completed,,,HR Score (Council%2013/Council%20Period%2013/HR%20Score%20d3f011568da9461aa8adf45e227fdbc4.md),,1,,No,,,,
Logging,"Grade, Group Specific Scores, Subscore",,,LOGGING_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Completed,,,Storage Score (Council%2013/Council%20Period%2013/Storage%20Score%2011bb09839a654b49b106dd69c97846fb.md),,0.694,,No,,,,
Uploads,"Grade, Group Specific Scores, Subscore",,,UPLOAD_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,Completed,,,Storage Score (Council%2013/Council%20Period%2013/Storage%20Score%2011bb09839a654b49b106dd69c97846fb.md),,0.498,,No,,,,
