Title,Column 1,Column 2,Column 3,Column 4,Column 5,Comment
Channel Name,Channel Link,Subscribers Count,Views Count,Date of Channel Created,Twitter,
Ivan on Tech,https://www.youtube.com/c/IvanonTech,673K,58M,"Dec 23, 2013",https://twitter.com/ivanontech,
Coin Bureau,https://www.youtube.com/c/CoinBureau,1.47M,109M,"Dec 19, 2017",https://twitter.com/coinbureau,
Andreas Antonopoulos,https://www.youtube.com/c/aantonop,731K,25M,"Dec 12, 2013",https://twitter.com/aantonop,
Altcoin Daily,https://www.youtube.com/c/AltcoinDaily,604K,135M,"Dec 29, 2017",https://twitter.com/AltcoinDailyio,
Crypto Daily,https://www.youtube.com/c/CryptoDaily,620K,90M,"Feb 24, 2017",https://twitter.com/Crypto_Daily,
The Modern Investor,https://www.youtube.com/c/ModernInvestor,429K,53M,"Sep 3, 2016",https://twitter.com/moderninvest,
Boxmining,https://www.youtube.com/c/Boxmining,446K,26M,"Aug 12, 2017",https://twitter.com/boxmining,
Crypto Zombie,https://www.youtube.com/c/CryptoZombie,338K,33M,"Mar 22, 2018",https://twitter.com/TheCryptoZombie,
Crypto Lark,https://www.youtube.com/c/TheCryptoLark,331K,26M,"Dec 21, 2016",https://twitter.com/TheCryptoLark,
Chico Crypto,https://www.youtube.com/c/ChicoCrypto,326K,39M,"Dec 29, 2017",https://twitter.com/ChicoCrypto,
DataDash,https://www.youtube.com/c/DataDash,396K,27M,"Jul 6, 2017",https://twitter.com/Nicholas_Merten,
Coin Mastery,https://www.youtube.com/c/CoinMastery,271K,14M,"Jun 7, 2017",https://twitter.com/CoinMastery,
BitBoy Crypto,https://www.youtube.com/c/BitBoyCrypto,320K,27M,"Sep 16, 2018",https://twitter.com/Bitboy_Crypto,
Crypto Jebb,https://www.youtube.com/c/CryptoJebb,304K,30M,"Oct 26, 2018",https://twitter.com/CryptoJebb,
Crypto Kirby Trading,https://www.youtube.com/c/CryptoKirbyTrading,244K,14M,"Jul 13, 2018",https://twitter.com/CryptoKirby,
Crypto Banter,https://www.youtube.com/c/CryptoBanter,263K,6.9M,"Oct 26, 2019",https://twitter.com/cryptobanter,
MMCrypto,https://www.youtube.com/c/MMCrypto,218K,13M,"Mar 16, 2018",https://twitter.com/MMcrypto,
