Name,Status,Progress,Assignee
[2024 Q1] O-1-1 Improve Joystream as a Video Platform,,,
[2024 Q1] O-1-2 Maintain Security of the Joystream Blockchain,,,
[2024 Q1] O-1-3 Improve Joystream DAO Governance,,,
[2024 Q1] O-1-4 Enhance Joystream user adoption,,,
KR-1.1 [Distributors] Ensure median bandwidth > 20 Mbps and median TTFB < 350 ms for all deployment locations (across multiple tests).,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Distributor WG
KR-1.2 [Storage] Maintain percentage of lost objects 0%. Maintain percentage of unaccepted objects < 1%. Maintain a replication rate of not lower 2 for all objects. Maintain an average node availability of 99.9%,At risk ⚠️,◾️◽️◽️◽️◽️◽️◽️◽️◽️◽️10%,Storage WG
" KR-1.3  [Builders] Atlas SDK: development of functional design specification",Excluded,◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,Builders WG
KR-2.1 [Council] Average block time is less than 6.1s,On track ✅,◾️◾️◾️◾️◾️◾️◾️◾️◽️◽️80%,Council
KR-3.1 [HumanResources] Conduct 2 anonymous surveys to understand whether DAO workers are satisfied with governance and working conditions.,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,HR WG
KR-3.2 [Builders] Pioneer Validator dashboard,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Builders WG
KR-3.3 [HumanResources] Develop prototype of council and lead scoring system,Excluded,◽️◽️◽️◽️◽️◽️◽️◽️◽️◽️ 0%,HR WG
KR-3.4 [Council] DAO pay structure,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Council
"KR-4.1 [Marketing] Joystream is listed on at least 2 more CEX: Achieve social media metrics required for exchange listing, Execute listing with DAO provided funds",Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Marketing WG
KR-4.2 [Marketing] At least 25 new Joystream-related review videos targeted at crypto audiences are posted on Youtube,Completed ⭐️,◾️◾️◾️◾️◾️◾️◾️◾️◾️◾️ 100%,Marketing WG
