Name,Salary,Council Term,Role,Skills,Pioneer profile,Remarks by lead,Discord Username
ferdikesh_studio,,,animator,"animation, designing",https://dao.joystream.org/#/members/3323,Can lead designing,
marat_mu,,,Market Analyst,"marketing, smm",https://dao.joystream.org/#/working-groups/marketing,Can lead research and SMM,
abramaria_,,,deputy lead,"Growth, communicator, creative mindset, policy making, research",https://dao.joystream.org/#/members/3082,Can lead all kinds of operations,
songoku,,,content creator,"content creating, video production",https://dao.joystream.org/#/members/3336,Can lead the tutorials making,
Codefikeyz,,,Recruiter,"networking, outreach",https://dao.joystream.org/#/members/4129,Can lead networking and outreach,
kate_fm,,,Handbook assistant,"Platform, Writing, content writing, copywriting",https://dao.joystream.org/#/members/1905,Can lead research and designing,
jpaul,,,content creator,"content creating, content writing",https://dao.joystream.org/#/members/4354,Can lead the shilling team of community,
vikan#4315,,,Recruiter,"communicator, networking, outreach, policy making, recruitment, research",https://pioneerapp.xyz/#/members/4058,Can lead all kinds of operations,
swargo,,,video editor,"Social, creative mindset, video production",https://pioneerapp.xyz/#/members/2532,Can lead video production,
crptowolf,,,researcher,"analysis, research",https://pioneerapp.xyz/#/members/3594,"Can lead research ",
