Id,Title,Language,Chanel name,Owner,Duration,Size,Category id,Category,License code,Original License,Original Link,Create,Update,URL,NFT,License,Curator,Date
27304,Moonbeam Network,en,PrettyFreak,prettyfreak,15,6666673,10,Entertainment,1002,Original video for Joystream,-,"August 13, 2022 7:57 PM (GMT+1)","August 13, 2022 7:57 PM (GMT+1)",https://play.joystream.org/video/27304,0,CC0,@kira_skipper,"August 25, 2022"
27353,HOME DECORATION | IELTS Speaking | Answers and vocabulary,en,Success with IELTS,vaaanish,832,1075334893,13,Education,1002,Original video for Joystream,-,"August 24, 2022 9:12 PM (GMT+1)","August 24, 2022 9:12 PM (GMT+1)",https://play.joystream.org/video/27353,0,CC0,@kira_skipper,"August 25, 2022"
27348,Funny,en,MoiMoi,kukukila,22,1280210,4,Pets & Animals,1002,Original video for Joystream,-,"August 24, 2022 4:44 AM (GMT+1)","August 24, 2022 4:44 AM (GMT+1)",https://play.joystream.org/video/27348,27348,CC0,@kira_skipper,"August 25, 2022"
27351,Trifid Playthrough Clip,en,Eclipsing Binary,eclipsingbinary,55,93212127,3,Music,1002,Original video for Joystream,-,"August 24, 2022 3:05 PM (GMT+1)","August 24, 2022 3:05 PM (GMT+1)",https://play.joystream.org/video/27351,0,CC0,@kira_skipper,"August 25, 2022"
27349,How to Verify Founding Member Status?,en,MWG Official,MWG,102,22006047,14,Science & Technology,1002,Original video for Joystream,-,"August 24, 2022 4:54 AM (GMT+1)","August 24, 2022 4:54 AM (GMT+1)",https://play.joystream.org/video/27349,0,CC0,@kira_skipper,"August 25, 2022"
27352,How to Bid in an NFT Sale (Open Type),en,MWG Official,MWG,85,36018750,13,Education,1002,Original video for Joystream,-,"August 24, 2022 4:15 PM (GMT+1)","August 24, 2022 4:15 PM (GMT+1)",https://play.joystream.org/video/27352,0,CC0,@kira_skipper,"August 25, 2022"
26976,Joystream DAO is owned and governed by its token holders,en,MWG Official,MWG,369,114393911,14,Science & Technology,1002,Original video for Joystream,-,"July 6, 2022 6:41 PM (GMT+1)","July 6, 2022 6:41 PM (GMT+1)",https://play.joystream.org/video/26976,0,CC0,@kira_skipper,"August 25, 2022"
27350,Eclipsing Binary - Sun Compilation #1,en,Eclipsing Binary,eclipsingbinary,68,101475425,3,Music,1002,Original video,-,"August 24, 2022 2:50 PM (GMT+1)","August 24, 2022 2:50 PM (GMT+1)",https://play.joystream.org/video/27350,0,CC0,spat_sochi,"August 25, 2022"
27355,How to Cancel an NFT Sale,en,MWG Official,MWG,69,38570825,13,Education,1002,Original video for Joystream,-,"August 25, 2022 1:44 AM (GMT+1)","August 25, 2022 1:44 AM (GMT+1)",https://play.joystream.org/video/27355,0,CC0,spat_sochi,"August 25, 2022"
27356,Create proposal,en,MWG Official,MWG,103,15106535,13,Education,1002,Original video for Joystream,-,"August 25, 2022 1:50 AM (GMT+1)","August 25, 2022 1:50 AM (GMT+1)",https://play.joystream.org/video/27356,0,CC0,spat_sochi,"August 25, 2022"
27354,Inadvertidamente enamorados - Episodio 1,es,ZuvaTV,fafranz,1468,1485647773,1,Film & Animation,1002,Standart youtube license,-,"August 25, 2022 1:25 AM (GMT+1)","August 25, 2022 1:25 AM (GMT+1)",https://play.joystream.org/video/27354,0,CC0,spat_sochi,"August 25, 2022"
27357,"Proof-of-Narnian, NFT и крипто рынок с Sergey (ICO Drops)",ru,CryptoLodes.,cryptolodes,7023,133921746,8,People & Blogs,1002,Creative commons,https://www.youtube.com/watch?v=cyt2r0PF1rg,"August 25, 2022 7:43 AM (GMT+1)","August 25, 2022 7:43 AM (GMT+1)",https://play.joystream.org/video/27357,0,CC0,spat_sochi,"August 25, 2022"
27358,Че По Космосу #20 | CryptoLodes.,ru,CryptoLodes.,cryptolodes,3332,252378980,14,Science & Technology,1002,Creative commons,https://www.youtube.com/watch?v=cJN_Q_G8fCc,"August 25, 2022 7:45 AM (GMT+1)","August 25, 2022 7:45 AM (GMT+1)",https://play.joystream.org/video/27358,0,CC0,spat_sochi,"August 25, 2022"
27359,"Че По Нодам #37 | Sui, Aptos | CryptoLodes.",ru,CryptoLodes.,cryptolodes,4989,584618455,14,Science & Technology,1002,Creative commons,https://www.youtube.com/watch?v=stBkfdf2HxQ&t=18s,"August 25, 2022 7:55 AM (GMT+1)","August 25, 2022 7:55 AM (GMT+1)",https://play.joystream.org/video/27359,0,CC0,spat_sochi,"August 25, 2022"
27347,Decoding the Wyrd with Curry,en,SatoriD,infinteimaginarium,916,616123243,10,Entertainment,1002,Original video,-,"August 24, 2022 4:41 AM (GMT+1)","August 24, 2022 4:41 AM (GMT+1)",https://play.joystream.org/video/27347,0,CC0,spat_sochi,"August 25, 2022"
27333,How to Bid to an NFT Sale (Open Type),en,Joystream Tutorials by Songoku,songoku,85,36018750,12,Howto & Style,1002,Original video for Joystream,-,"August 20, 2022 6:55 AM (GMT+1)","August 20, 2022 6:55 AM (GMT+1)",https://play.joystream.org/video/27333,0,CC0,spat_sochi,"August 25, 2022"
27360,Bounty contribution - Create Joystream Short Intro Video,en,ninjafire,ninjafire,5,3130397,12,Howto & Style,1002,Original video for Joystream,-,"August 25, 2022 7:54 PM (GMT+1)","August 25, 2022 7:54 PM (GMT+1)",https://play.joystream.org/video/27360,0,CC0,spat_sochi,"August 25, 2022"
27361,This Connected Web That is Forming,en,InfiniteImaginarium,infinteimaginarium,799,535055834,10,Entertainment,1002,Original video,-,"August 25, 2022 11:10 PM (GMT+1)","August 25, 2022 11:10 PM (GMT+1)",https://play.joystream.org/video/27361,0,CC0,spat_sochi,"August 25, 2022"
27362,Joystrеam,en,Vladislav220294,vladislav220294,5,752832,15,Nonprofits & Activism,1002,Original video,Original video for Joystream,"August 27, 2022 11:02 AM (GMT+1)","August 27, 2022 11:02 AM (GMT+1)",https://play.joystream.org/video/27362,0,CC0,ferdikesh_studio,"August 28, 2022"
27363,How to Change Pioneer Profile Picture,en,Joystream Tutorials by Songoku,songoku,64,66237467,12,Howto & Style,1002,Original video,Original video for Joystream,"August 27, 2022 2:35 PM (GMT+1)","August 27, 2022 2:35 PM (GMT+1)",https://play.joystream.org/video/27363,0,CC0,ferdikesh_studio,"August 28, 2022"
27364,How to Know Start and End Block of Previous Term,en,Joystream Tutorials by Songoku,songoku,62,48549127,12,Howto & Style,1002,Original video,Original video for Joystream,"August 27, 2022 2:40 PM (GMT+1)","August 27, 2022 2:40 PM (GMT+1)",https://play.joystream.org/video/27364,0,CC0,ferdikesh_studio,"August 28, 2022"
27258,Be Positive!,en,Songoku Channel,songoku,10,10656626,8,People & Blogs,1002,Original video,Original video for Joystream,"August 3, 2022 5:30 AM (GMT+1)","August 3, 2022 5:30 AM (GMT+1)",https://play.joystream.org/video/27258,0,CC0,@kira_skipper,"August 29, 2022"
27366,How to Rename a Video,en,Joystream Tutorials by Songoku,songoku,75,13679625,12,Howto & Style,1002,Original video,Original video for Joystream,"August 28, 2022 1:41 PM (GMT+1)","August 28, 2022 1:41 PM (GMT+1)",https://play.joystream.org/video/27366,0,CC0,@kira_skipper,"August 29, 2022"
