"﻿""Name""",Address,Date,Discord,DiscordId,Quest,ReviewDate,ReviewedById,Reward,Status,Twitter,answer
hitTrik,5HBH8Frv2qaJk8jGLvZnVCMfA4vWpA4c8wjMTMDTVoJoBvPo,"February 18, 2023",hitTrik#4281,957531044997894100,Tweet about us,,,83 XP,success,sakekiga1976,https://twitter.com/sakekiga1976/status/1626818161852182530?s=20
vitek1273,12QJRDAjx9Ezk8Un9spjbCf1eanahh5KCgVvTc1i5G33Y5eP,"February 18, 2023",vitek1273#8722,914605686921523200,Tweet about us,,,83 XP,success,Viktor767952891,https://twitter.com/Viktor767952891/status/1626689474993311747?s=20
Marselellada,5FCd4gQqkRvUNyThC1hKeskjqZEigxnCiCvHuKecG1BQpCmb,"February 17, 2023",marselellada#8222,896371393778827300,Tweet about us,,,83 XP,success,Marselellada,https://twitter.com/Marselellada/status/1626572407728136194?s=20
ilovemyass,5CG84sYpvDQV9raiLkyrP6btEKMtgGoBSfdos9uzBgwGcFva,"February 18, 2023",ilovemyass#3536,958743493780590600,Tweet about us,,,83 XP,success,scovia4hillary,https://twitter.com/scovia4hillary/status/1626937007627812865?s=20
0xe391…0416,5DXuirRsMKKVF1mNCvEhitYeqqpt5skdgmBhBPQWn87jgi8M,"February 18, 2023",buysfiller#7691,1029171341682819100,Tweet about us,,,83 XP,success,Hawaahmed110,https://twitter.com/Hawaahmed110/status/1626850710519418885?s=20
crypton07,5GznmuS9soLyTDUvkFJATKFtYix4FoWvApNAN6RsUx1WEwb4,"February 18, 2023",crypton07#9255,885762772758044700,Tweet about us,,,83 XP,success,StMaslov07,https://twitter.com/StMaslov07/status/1626868666036805632
0xA8…55bA,5D4Yb9kitFvFqJVVcZoD4y477KUg1dKaeKFVyHxQjrWN5E2E,"February 18, 2023",fsfsg#1696,286010546195791870,Tweet about us,,,83 XP,success,bitgirl_eth,https://twitter.com/bitgirl_eth/status/1626653447033622528
hitrii,5DXTN2FUWRvZcakX4m7mZfCHq4GfhYQtt3fS5Lrg52VrDL6r,"February 17, 2023",hitrii#5982,954708501073133600,Tweet about us,,,83 XP,success,gescukonsi1980,https://twitter.com/gescukonsi1980/status/1626572123681464320?s=20
vuavasyyana,5G8wWFKaFkH83hfZqsLuwctXq9wJGnnhUGbXvUR5YJHDhj9R,"February 18, 2023",vuavasyyana#3560,955437450820468700,Tweet about us,,,83 XP,success,243freddynan,https://twitter.com/243freddynan/status/1626918773906079746?s=20
__MaVKa__(Вова),5CdJnqpbeaMCqC1geXpvUCYtHhpVNGZ774xU3H4CJsYcMog7,"February 19, 2023",__MaVKa__(Вова)#8055,396256140133924860,Tweet about us,,,83 XP,success,VMyhailiv,https://twitter.com/VMyhailiv/status/1627014108380798976
0xFe…D90A,14TYX5A9nLLxbe3WLrDvr45k9x2X5YwrcnEdD2jg2hmhwZiD,"February 19, 2023",Jamespark#0096,843943088418455600,Tweet about us,,,83 XP,success,YGCHANFAMILY,https://twitter.com/YGCHANFAMILY/status/1627078629451759617?t=ZvHjgFuChvU9rBs3rb4DqA&s=19
che gevara,j4WDvMKSzDb2sZw1M9PSoAQWUHxNY6atMvUi1zS7wg51Kfyix,"February 18, 2023",che gevara#0626,937756363323506800,Tweet about us,,,83 XP,success,AAchegevara,https://twitter.com/AAchegevara/status/1626860750345052160?s=20
msiGpro,5FTuHd9wAqL3b3X4pTsmwpuFmSer1EiNLW49QqN2u8c5rWnJ,"February 18, 2023",msiGpro#2282,957510717349716000,Tweet about us,,,83 XP,success,benitai1986,https://twitter.com/benitai1986/status/1626825009779077126?s=20
0x0103…cda7,5FQwoScxF98yiVMbavFJHYgCWjpxKMwZijnTociGFdMjPiKn,"February 18, 2023",DanielhillS#4773,1028912768281235500,Tweet about us,,,83 XP,success,KylaRob10883094,https://twitter.com/KylaRob10883094/status/1626900086545612801?s=20
full_moon,5HKqyLXELpbeH2cM7JvAz1TD3phQwTS37e9UghC5bGRHJuun,"February 18, 2023",full_moon#0635,1032238483248533500,Tweet about us,,,83 XP,success,baghyey56964878,https://twitter.com/baghyey56964878/status/1626837281360474113?s=20
Church,5CSktTWWALjZZKikDto5yohsB5cUrA5hda3a4emWjN6UkQQp,"February 18, 2023",V.I.R.U.S#6666,372849817187254300,Tweet about us,,,83 XP,success,VIRUS37620579,https://twitter.com/VIRUS37620579/status/1626674630738993162
lofingv,14SpUAC5pwgG16EXbKxqyn38xPBrGcdizWZNPXQg9VJCYB5G,"February 17, 2023",lofingv#3937,773513864939438100,Tweet about us,,,83 XP,success,lofingvv,https://twitter.com/lofingvv/status/1626584747081342976?s=20
poet-ru,5Epqgf2GA99XquU5U34iAvkjatmSnvAJNrHcvqLr2AiGzD3Q,"February 18, 2023",poet-ru#8630,953947753547960300,Tweet about us,,,83 XP,success,lahafullwork198,https://twitter.com/lahafullwork198/status/1626866229284667392?s=20
0x19…3A32,5GE7yyA6r23iF8V7MGTRdgqBCLufHWV7iorBgcMYSgYwVADW,"February 18, 2023",Leoguri#5959,538707495414267900,Tweet about us,,,83 XP,success,planto_m,https://twitter.com/planto_m/status/1626794080041828352?s=20
FIRZA,139XkkvnpZVv3YqqJP2RpMCs2QQbdGkJK8Jon5cYDLJVgQPs,"February 18, 2023",GraceLin#2161,555712384287768640,Tweet about us,,,83 XP,success,Firzapennn_,https://twitter.com/Firzapennn_/status/1626661698672398337?t=CjRxR0o8zP14--I-fkQyew&s=19
VladimirRaketa,12uHfH2VKWpLGCosxwPdMQp8CDw49KkPsn7GWiKE1YTSMzy9,"February 16, 2023",Raketa | PYME#8129,855112543394463700,Tweet about us,,,83 XP,success,raketa2022,https://twitter.com/raketa2022/status/1625986303434309634?s=20
gedeihent,5G9joHopK2MGjsFTkzSTq8f2QTEHDzXJqWtZAZ5gD7offoQD,"February 18, 2023",gedeihent#3359,864487936388759600,Tweet about us,,,83 XP,success,EJseong95,https://twitter.com/EJseong95/status/1626794051986128900?s=20
OlegOLEG,5E766ujtzQA7epFmj7EaJ4V7p5318NejpZSwWfzZ5nYLw6X8,"February 17, 2023",OlegOLEG#4780,954720659752239100,Tweet about us,,,83 XP,success,taburnabuzz1975,https://twitter.com/taburnabuzz1975/status/1626573151302721536?s=20
