"﻿""Name""",Twitter,Discord,DiscordId,Reward,answer,Quest,Address,Status,Date,ReviewedById,ReviewDate
DronPelya,Lunar_Crank,Dron#7236,812975312560193500,83 XP,https://twitter.com/Lunar_Crank/status/1627232038519558146?s=20,Tweet about us,12Gi6re34vtkQ2PRW8bM3w6gwDz8XtpzN1afgZxzp4W3kgYg,success,"February 19, 2023",,
hiy,anggurmanis16,donywsb#0943,847420499864846300,83 XP,https://twitter.com/anggurmanis16/status/1627216562225545216?t=LziIavy6kLoNDH3luE-m5Q&s=19,Tweet about us,14VfUdQD3vQKMrs53K3cGuMXAmBqdKafRU7mjxW9Kho3eyrs,success,"February 19, 2023",,
yuhii,Anggurhijau8,yuh.ii#1663,864639660445401100,83 XP,https://twitter.com/Anggurhijau8/status/1627215613813993472?s=20,Tweet about us,12axTYQeBAANqP1fCVdKmc9eqTj7R793dkugr8zYFQ66dc1W,success,"February 19, 2023",,
Corgi,Satria18193040,agay#2008,786978873602080800,83 XP,https://twitter.com/Satria18193040/status/1627214482413068288?s=20,Tweet about us,16SxYHeCzHjidL1m4BAZtQZjYLbECKKsQS7aakjfS1rCu32j,success,"February 19, 2023",,
0x46…c9cf,erosam3321,퐁야#8039,978571500313534500,83 XP,https://twitter.com/erosam3321/status/1627208699893932037?s=20,Tweet about us,퐁야#8039,success,"February 19, 2023",,
0xc6…f830,youngstory119,슈마리#1725,1002982844446027800,83 XP,https://twitter.com/youngstory119/status/1627203562102226945?s=20,Tweet about us,슈마리#1725,success,"February 19, 2023",,
And178!,178AND178,Andrey178A#7194,918830362099056600,83 XP,https://twitter.com/178AND178/status/1627200258961821699?s=20,Tweet about us,1Kva9fa25EoRL7QGQ6JjwD6atQfNP1ZQumbYJDEZZ6xH9VQ,success,"February 19, 2023",,
0xfC…2fF4,isam_yeong,songsong#0932,392304188274769900,83 XP,https://twitter.com/isam_yeong/status/1627195828959080450?s=20,Tweet about us,songsong#0932,success,"February 19, 2023",,
JAKJAKHYA,JAKJAKHYA,JAKJAKHYA#4722,874832745732390900,83 XP,https://twitter.com/JAKJAKHYA/status/1627171303148122115?s=20,Tweet about us,14ziqMoCbWHbt33VLBRRmYx85bCZ29YMV8Zkh5jh7J1ajmsx,success,"February 19, 2023",,
van74,chaoo74,van74#4697,897641038162821100,83 XP,https://twitter.com/chaoo74/status/1627170139719499777?s=20,Tweet about us,5DtZ8f38j4JvW9hbRbUbEFgoPxEpqeRcawaWCsCekmaso4Sb,success,"February 19, 2023",,
0x3b39…b36d,sindodorlim,riam#2146,947305869492777000,83 XP,https://twitter.com/sindodorlim/status/1627160157418557446?s=20,Tweet about us,dmyQxcpBt1XEWiD8Jaax4spWv9KtdU5XhTco2SXtZ9ejDdEcQ,success,"February 19, 2023",,
0PER,0PERCR,0PER#7899,355296155866890240,83 XP,https://twitter.com/0PERCR/status/1627138233527320576,Tweet about us,5EZ1pnFWiy9NjmPFcGSQoxNRPd8gjevsxNig7P1wGNNRoHBQ,success,"February 19, 2023",,
0x71b8…f192,bluetwc,bluetwc#7698,894354115277250600,83 XP,https://twitter.com/bluetwc/status/1627137708798926848?s=20,Tweet about us,121daFZbFrro7iN6MGfwLHGdBRHSnBQn4JXq7tXcRQFAE2cd,success,"February 19, 2023",,
Unfairness,Unfairness74,Unfairness#9478,312933305035128800,83 XP,https://twitter.com/Unfairness74/status/1627137289188175872,Tweet about us,5CGBNFFLjD9XqmPGroxWNdFQArH2zqtpWpqjTFCNfgLqy1PX,success,"February 19, 2023",,
elina,ElinaS50071400,elina#1052,966769860757569500,83 XP,https://twitter.com/ElinaS50071400/status/1627133708070264834?s=20,Tweet about us,5FLiNSbSSrw7wy3XtTPEA1wJGhb7TdacH7Da1HUyVwgibiur,success,"February 19, 2023",,
ddabongcoin,ddabongcoin,ddabongcoin#7807,1068596623833317400,83 XP,https://twitter.com/ddabongcoin/status/1627127528757547008?t=tYd7f5iiodWNNUJeiKd6Dg&s=19,Tweet about us,15FqtQmoSTsqvhyREjrfZyB5NwZ7rz66CCTkDsvNGDdeev2Z,success,"February 19, 2023",,
mrsun,spilitofthesun,No.007#9682,578206302086365200,83 XP,https://twitter.com/spilitofthesun/status/1627105361072365568,Tweet about us,5EsMSMWs5bdLYhvg7iLmcw2uK3JvWDkuMwrVbZnU4zT9QzY3,success,"February 19, 2023",,
Bogdi,cryptobogdi,Bogdi#5696,422987735091904500,83 XP,https://twitter.com/cryptobogdi/status/1627099415507869696?s=46&t=ZsefSHyT-p7oKSme3BZqrA,Tweet about us,14ibKsaEafon7wvFMYzsLZLFWiuscT9uQkmGrUVV4dxx3WaN,success,"February 19, 2023",,
nasttiostapenko,Osta14Anastasia,nasttiostapenko#4261,888422698726867000,83 XP,https://twitter.com/Osta14Anastasia/status/1627097618244599808,Tweet about us,5DskJSrXTvdXDMC9UwTvZZMRmaPYhvUnuuiWn2kLrMByLen5,success,"February 19, 2023",,
shaytocado,shaitex248,shaytocado#6464,921908272657743900,83 XP,https://twitter.com/shaitex248/status/1627079576542408709?s=20,Tweet about us,5FHmux2E4Fd5NtgfUD9HWtznd8hELEkB4e8NYncPc315a69E,success,"February 19, 2023",,
0xFe…D90A,YGCHANFAMILY,Jamespark#0096,843943088418455600,83 XP,https://twitter.com/YGCHANFAMILY/status/1627078629451759617?t=ZvHjgFuChvU9rBs3rb4DqA&s=19,Tweet about us,14TYX5A9nLLxbe3WLrDvr45k9x2X5YwrcnEdD2jg2hmhwZiD,success,"February 19, 2023",,
politol10,politol10,politol10#0260,827973465281658900,83 XP,https://twitter.com/politol10/status/1627078324341309440?s=20,Tweet about us,13tyMpF153DZujzfgnSiKMh1kwc3VMRMJN8EhhY1stjpPPAb,success,"February 19, 2023",,
0xe3…f220,BriannaRene42,UllaSundqvist#1710,986093966812414100,83 XP,https://twitter.com/BriannaRene42/status/1627077543974289408?s=20,Tweet about us,5EFfvnjSrxwuHU4z8PMKHvbrrBaa4JVE5rSTRa7X1ciuJpFb,success,"February 19, 2023",,
Batman2504,ArtemFedorenk,Batman2504#3721,880174530021175300,83 XP,https://twitter.com/artemfedorenk/status/1627067222580658177?s=46&t=wX1rCuPiBABslVVklP3phw,Tweet about us,5FU1ezddiTUe5ia23UejnZ288V9pJn26akeAfXxMqx6Us91z,success,"February 19, 2023",,
DuckPerDuck414,Bigjohn1John,vuxyvuDXx#5147,976919236578541600,83 XP,https://twitter.com/Bigjohn1John/status/1627065287551115264?s=20,Tweet about us,5FxfssedKDGviRRFRMD7xiPxcLsMeKXabna1hGh1thH9xBMk,success,"February 19, 2023",,
0x407e…EaAD,DMaskevic,sysyhd#3508,1056600788786491400,83 XP,https://twitter.com/DMaskevic/status/1627052445414338561?t=4KMfn4YVDGy7PCtgoLbR7Q&s=19,Tweet about us,1XUKVxnMVS4d6mQTHnLFWsK3kyT961RyStJ1qTYvoV5qmkz,success,"February 19, 2023",,
ropsten80,ropsten80,ropsten80#7558,874586049974771700,83 XP,https://twitter.com/ropsten80/status/1627043571600588802?s=20,Tweet about us,j4T6ve5cfR8Y6FnvYV96dX1XYh2bdrQXu7JFqYqEdQ6p3g9Gw,success,"February 19, 2023",,
Chameleon Club,FedyukAlex,Chameleon Club | Sisu Network#1612,1054059157784891500,83 XP,https://twitter.com/FedyukAlex/status/1627042802126184449?s=20,Tweet about us,5CLqNnbwi2TYh4s5f3x5xBvvdB7QV3LaCj2jbFj7yMiz73Ty,success,"February 19, 2023",,
pelep,Sauuroon,pelep#4535,411616108999737340,83 XP,https://twitter.com/Sauuroon/status/1627036521810337793?s=20,Tweet about us,j4V7xeeK19wghcU9jNQv8PzTdj4ktY2KW1K2ppsp82oKwKXts,success,"February 19, 2023",,
Natiard,NiyonkuruMussa,Tinniert#6138,885146134954258400,83 XP,https://twitter.com/NiyonkuruMussa/status/1627029878452244480,Tweet about us,5CnsFkgGPFp4W9As32XNyhy5x6AneCArSsrxAA4oDzsAdsCK,success,"February 19, 2023",,
Geah3,TafadzwaKabote,Ferrtdon#0928,885126870524391400,83 XP,https://twitter.com/TafadzwaKabote/status/1627028728881598466,Tweet about us,5FyWrzBeejTDLoy3d7rMpM4vwz6SM1BAZxfjpkEiojgyDyb1,success,"February 19, 2023",,
Nieerdiase,Stephan92541889,Kamiaander#0155,885078098482167800,83 XP,https://twitter.com/Stephan92541889/status/1627027987798413313,Tweet about us,5GdnpQDyPqXreKZ31r3kBxpzesdBoTfRcRYmRR7MLiU27gY4,success,"February 19, 2023",,
Vierphia,JoaoCar73504650,Limnthan#2756,884800892476489700,83 XP,https://twitter.com/JoaoCar73504650/status/1627026992737443841,Tweet about us,5H8vbew96zdfRjbLHTmcT6r86V7AHq7SRYCCQFVeoftnvBqV,success,"February 19, 2023",,
Donopher,henry35484894,Ianianle#1428,884788591006466000,83 XP,https://twitter.com/henry35484894/status/1627025958782787585,Tweet about us,5CG8mCbv5tVTbbK6BcBA43cbDvXtJhoz57QgsugKF8vwfZZX,success,"February 19, 2023",,
Andtianstin,AMOSIJUMA6,Lieler#9175,884757597444513800,83 XP,https://twitter.com/AMOSIJUMA6/status/1627025301199790083,Tweet about us,5EhYHVKZgCkLgSXJDZHzmYwvRtbNBVNCj76MhRLyUAJAG4Po,success,"February 19, 2023",,
Celan5,MafoSegui,Mntogo#0029,884054106560426000,83 XP,https://twitter.com/MafoSegui/status/1627024473047109633,Tweet about us,5CoqsWBFdaDBcJh4W8AUUXoXWHR6xfgNJz5BKwmmAf2GBT5a,success,"February 19, 2023",,
abekenf,beken80404109,abekenf#4366,819248962947121200,83 XP,https://twitter.com/beken80404109/status/1627024475362402306?s=20,Tweet about us,16FrvN5jE4BwfVgH8bhBqJiNsdFPbgMDHW9Q6QGsx4vinnnP,success,"February 19, 2023",,
Ternith1,Moses80676103,Arydoner#6897,884001975669227500,83 XP,https://twitter.com/Moses80676103/status/1627023704973533184,Tweet about us,5Gs5qeXnmtJ962H6RGkd2XJ9sBDQMNWqgFNwFiBUzAg52i3B,success,"February 19, 2023",,
Gugelanen,abdou32230683,ᶉ⋒Ńěḿ凡ηě#4348,1018108411734393000,83 XP,https://twitter.com/abdou32230683/status/1627023143578599424,Tweet about us,5GQr2pDFZjnzDfgw26M59QqjzyYkcfprvv7AKxvemCWiS7fp,success,"February 19, 2023",,
Niriel,AwalDermane,nbvccfh - Divine Assembly#8621,892388199618453600,83 XP,https://twitter.com/AwalDermane/status/1627022605898158081,Tweet about us,5EyTW6SzUtkG9gkcQTjPcU48i5f2dTpraweq81RWbwxUPjj4,success,"February 19, 2023",,
Jamal Chain,JamalCejn,JamalChain#2531,1039970552196120700,83 XP,https://twitter.com/JamalCejn/status/1627019276279242752,Tweet about us,14ST6UwiZyUhauBGbzAGGbMmJgk2R5mQppDtDAYDHHNh6HVy,success,"February 19, 2023",,
TashaC,TashaCannn,TashaC#4677,1039977794307887100,83 XP,https://twitter.com/TashaCannn/status/1627018935391465472,Tweet about us,14r3WKk5XxMoMiTnBdgaWcgEJXXZ6eq6eU1m7mvGACKiaz82,success,"February 19, 2023",,
GrayG,gray_rad,GrayG#4278,1039979103496962200,83 XP,https://twitter.com/gray_rad/status/1627018584152059904,Tweet about us,14PhztPu5J7CHzhVbFL5mcs8Uyvtd3vJV2RqX8rBrGxWS21d,success,"February 19, 2023",,
JeanM,JoanMarss,JeanM#2431,1039976354575298600,83 XP,https://twitter.com/JoanMarss/status/1627018442736820225,Tweet about us,13McjmFqqncLteoKQ2GMUHaQWvHPqQxqtZMHgPsdSFkwNowy,success,"February 19, 2023",,
windofchain,leha_lehas,WINDOFCHAIN#9133,897795978147545100,83 XP,https://twitter.com/leha_lehas/status/1627018013915455492,Tweet about us,15Aj591d357MxqM6jDbqGdGGjX53CEDsm4Wxt15V7aaNCQnq,success,"February 19, 2023",,
klarastonec,klarastoness,klarastonec#6563,996014205532647600,83 XP,https://twitter.com/klarastoness/status/1627015926964015105,Tweet about us,14zbZWGxLBpiDfb5eHPLqZBJoskVaqnNkeb4deARDWDtDfhJ,success,"February 19, 2023",,
borisbritva,BorisBrr,bori$#8523,984054910750425100,83 XP,https://twitter.com/BorisBrr/status/1627015365807972352,Tweet about us,14H66Na6f6ytW99ygqpvFcq6Zc5oUUf2oA1Rvj5xwERJPJbV,success,"February 19, 2023",,
2r1u4s,OcCECyzAjS2hvmS,2r1u4s#6033,771256430232600600,83 XP,https://twitter.com/OcCECyzAjS2hvmS/status/1627015364381925376,Tweet about us,5G4Nvwte8KRj7EwNTt1zziZZ18K79D6K5z1bbaugE2pozfVC,success,"February 19, 2023",,
xaomi,EasyCoinInfo1,xaomi#0039,1050838754853666800,83 XP,https://twitter.com/EasyCoinInfo1/status/1627014527458893826,Tweet about us,16CaTX8LSRtXS8RHrFmVqR25KGca98pBhQ77EUWcREkqL7cv,success,"February 19, 2023",,
Islam Karaev,IslamKaraevv,IslamKaraev#6845,1039903934153760800,83 XP,https://twitter.com/IslamKaraevv/status/1627014327151493121,Tweet about us,12e9b7NXgsbK6UGFVunnLPTbiDrRDPpyVsxHaA8MLo3sMZ9U,success,"February 19, 2023",,
__MaVKa__(Вова),VMyhailiv,__MaVKa__(Вова)#8055,396256140133924860,83 XP,https://twitter.com/VMyhailiv/status/1627014108380798976,Tweet about us,5CdJnqpbeaMCqC1geXpvUCYtHhpVNGZ774xU3H4CJsYcMog7,success,"February 19, 2023",,
Petrou,PIgleas,ipetrou Sui Bears#1296,978681766275596300,83 XP,https://twitter.com/PIgleas/status/1627011369173123072,Tweet about us,167TP9FMHmGH9P2qt1cpX6AjHek35obe2RsRswPmSpZhoVPC,success,"February 19, 2023",,
KONTIK,k1m1m0ro,KONTIK#0348,327269641259057150,83 XP,https://twitter.com/k1m1m0ro/status/1627004251548393472,Tweet about us,1mzUfGpRApnqjh3TENZ6Cpza74G641d6UKJrVe4gvtzXx9D,success,"February 19, 2023",,
mamba111,AlexxLenoxx,mamba#7073,664217500560392200,83 XP,https://twitter.com/AlexxLenoxx/status/1626999681879355393,Tweet about us,5GNLrNq7Ews3MwEDz7X9F8WPqctrz4pRyS9eojcXYQPrmMeV,success,"February 19, 2023",,
Maksvell23,maksvell1987,Maksvell#4782,494248809115811840,83 XP,https://twitter.com/maksvell1987/status/1626993580890783744,Tweet about us,j4WqsaLdG3EzYRQJyuRo9a73w3sSRyEFrkhH9ZoDd4jCYttrC,success,"February 19, 2023",,
Sergey Hobotob,hobotob,Sergey Hobotob#4587,887912336634028000,83 XP,https://twitter.com/hobotob/status/1626993233661157378?t=4HwU15YJC8zhxEChnm9YnA&s=19,Tweet about us,5Fvr1mBHdBoqNn4Wz6TcuD28CdSviPRksjvGFD7EuzwfpuBq,success,"February 19, 2023",,
Zhuravskyi,MykolaZhuravsk3,Zhurawskyi#9244,787935109780865000,83 XP,https://twitter.com/MykolaZhuravsk3/status/1626990402522738688?s=20,Tweet about us,12C8CA3ZJ3Upz1N9VcWPXsY32GJBgKZRdDYJgXeU9vcdFEXD,success,"February 19, 2023",,
jasoooon,JamesDesign13,jaason#1202,998202784467923000,83 XP,https://twitter.com/JamesDesign13/status/1626982944928673792,Tweet about us,5HbCEJxwmVLQpKT76tRaCKNGnzDZGbdxGRQHGWid6rKriRdp,success,"February 19, 2023",,
